	CBScode	Perioden	  HIC: Theft / burglary dwelling, complete	  HIC: Theft / burglary dwelling, attempts	HIC: Violent Crime	HIC: Street Roof	HIC: Robberies	Undermining public order	Threat	Fire / Explosion	Theft of moped, moped, bike	Theft of / from vehicles	Theft of motor vehicles	Theft / burglary companies / institutions	Theft / burglary garage / barn / shed	Drug trafficking	Trespassing	mistreatment	Overt violence (person)	Or destruction. cause damage	Arms Trade	pickpocketing	morals Felony	Municipality	Province	Population	Population_density(p/km)	Municipality Size
531	GM0356	2017JJ00	140.0	92.0	212.0	10.0	0.0	10.0	84.0	18.0	226.0	936.0	46.0	80.0	52.0	48.0	2.0	114.0	14.0	364.0	18.0	74.0	14.0	Nieuwegein	Utrecht	61017.0	2566.0	Big
532	GM0358	2014JJ00	54.0	27.0	127.0	2.0	1.0	3.0	56.0	5.0	101.0	79.0	8.0	68.0	34.0	19.0	3.0	66.0	5.0	179.0	4.0	26.0	5.0	Aalsmeer	North Holland	30792.0	1486.0	Big
533	GM0358	2015JJ00	47.0	16.0	105.0	2.0	4.0	3.0	50.0	4.0	72.0	72.0	6.0	53.0	33.0	21.0	1.0	52.0	3.0	113.0	2.0	14.0	12.0	Aalsmeer	North Holland	30792.0	1486.0	Big
534	GM0358	2016JJ00	60.0	20.0	112.0	2.0	0.0	0.0	47.0	5.0	91.0	97.0	14.0	47.0	17.0	11.0	7.0	64.0	1.0	115.0	3.0	7.0	12.0	Aalsmeer	North Holland	30792.0	1486.0	Big
535	GM0358	2017JJ00	60.0	24.0	114.0	6.0	0.0	2.0	52.0	6.0	124.0	40.0	10.0	62.0	14.0	14.0	4.0	60.0	2.0	130.0	0.0	8.0	18.0	Aalsmeer	North Holland	30792.0	1486.0	Big
536	GM0361	2014JJ00	386.0	152.0	734.0	29.0	23.0	42.0	286.0	44.0	1408.0	440.0	60.0	176.0	131.0	53.0	14.0	413.0	35.0	943.0	27.0	178.0	45.0	Alkmaar	North Holland	94906.0	3222.0	Big
537	GM0361	2015JJ00	308.0	153.0	637.0	24.0	7.0	58.0	221.0	35.0	1272.0	334.0	57.0	194.0	120.0	69.0	16.0	393.0	23.0	866.0	57.0	185.0	51.0	Alkmaar	North Holland	94906.0	3222.0	Big
538	GM0361	2016JJ00	274.0	169.0	601.0	11.0	5.0	51.0	219.0	31.0	1007.0	235.0	58.0	173.0	122.0	58.0	18.0	348.0	34.0	883.0	36.0	154.0	56.0	Alkmaar	North Holland	94906.0	3222.0	Big
539	GM0361	2017JJ00	138.0	60.0	562.0	16.0	16.0	40.0	194.0	42.0	726.0	188.0	42.0	142.0	78.0	42.0	26.0	346.0	22.0	750.0	30.0	194.0	46.0	Alkmaar	North Holland	94906.0	3222.0	Big
540	GM0362	2014JJ00	224.0	122.0	273.0	19.0	3.0	10.0	113.0	16.0	529.0	535.0	98.0	161.0	71.0	62.0	8.0	144.0	16.0	358.0	14.0	201.0	17.0	Amstelveen	North Holland	85135.0	2011.0	Big
