Perioden;Crimes;Municipality;CrimeType
2014JJ00;649;Borger-Odoorn;all crimes
2015JJ00;661;Borger-Odoorn;all crimes
2016JJ00;589;Borger-Odoorn;all crimes
2014JJ00;703;Borne;all crimes
2015JJ00;670;Borne;all crimes
2016JJ00;667;Borne;all crimes
2014JJ00;490;Borsele;all crimes
2015JJ00;501;Borsele;all crimes
2016JJ00;487;Borsele;all crimes
2014JJ00;;Boskoop;all crimes
2015JJ00;;Boskoop;all crimes
2016JJ00;;Boskoop;all crimes
2014JJ00;1092;Boxmeer;all crimes
2015JJ00;1086;Boxmeer;all crimes
2016JJ00;1010;Boxmeer;all crimes
2014JJ00;1448;Boxtel;all crimes
2015JJ00;1428;Boxtel;all crimes
2016JJ00;1428;Boxtel;all crimes
2014JJ00;14053;Breda;all crimes
2015JJ00;12941;Breda;all crimes
2016JJ00;12577;Breda;all crimes
2014JJ00;743;Brielle;all crimes
2015JJ00;845;Brielle;all crimes
2016JJ00;635;Brielle;all crimes
2014JJ00;933;Bronckhorst;all crimes
2015JJ00;745;Bronckhorst;all crimes
2016JJ00;751;Bronckhorst;all crimes
2014JJ00;746;Brummen;all crimes
2015JJ00;704;Brummen;all crimes
2016JJ00;619;Brummen;all crimes
2014JJ00;1905;Brunssum;all crimes
2015JJ00;1800;Brunssum;all crimes
2016JJ00;1729;Brunssum;all crimes
2014JJ00;625;Bunnik;all crimes
2015JJ00;624;Bunnik;all crimes
2016JJ00;582;Bunnik;all crimes
2014JJ00;649;Bunschoten;all crimes
2015JJ00;713;Bunschoten;all crimes
2016JJ00;639;Bunschoten;all crimes
2014JJ00;826;Buren;all crimes
2015JJ00;666;Buren;all crimes
2016JJ00;751;Buren;all crimes
2014JJ00;1887;Bussum;all crimes
2015JJ00;1718;Bussum;all crimes
2016JJ00;;Bussum;all crimes
2014JJ00;3710;Capelle aan den IJssel;all crimes
2015JJ00;3486;Capelle aan den IJssel;all crimes
2016JJ00;3404;Capelle aan den IJssel;all crimes
2014JJ00;1487;Castricum;all crimes
2015JJ00;1335;Castricum;all crimes
2016JJ00;1233;Castricum;all crimes
2014JJ00;1624;Coevorden;all crimes
2015JJ00;1352;Coevorden;all crimes
2016JJ00;1281;Coevorden;all crimes
2014JJ00;891;Cranendonck;all crimes
2015JJ00;798;Cranendonck;all crimes
2016JJ00;866;Cranendonck;all crimes
2014JJ00;396;Cromstrijen;all crimes
2015JJ00;386;Cromstrijen;all crimes
2016JJ00;342;Cromstrijen;all crimes
2014JJ00;1078;Cuijk;all crimes
2015JJ00;990;Cuijk;all crimes
2016JJ00;967;Cuijk;all crimes
2014JJ00;1778;Culemborg;all crimes
2015JJ00;1535;Culemborg;all crimes
2016JJ00;1620;Culemborg;all crimes
2014JJ00;527;Dalfsen;all crimes
2015JJ00;456;Dalfsen;all crimes
2016JJ00;469;Dalfsen;all crimes
2014JJ00;464;Dantumadiel;all crimes
2015JJ00;421;Dantumadiel;all crimes
2016JJ00;426;Dantumadiel;all crimes
2014JJ00;6966;Delft;all crimes
2015JJ00;6316;Delft;all crimes
2016JJ00;6484;Delft;all crimes
2014JJ00;986;Delfzijl;all crimes
2015JJ00;942;Delfzijl;all crimes
2016JJ00;1107;Delfzijl;all crimes
2014JJ00;1473;Deurne;all crimes
2015JJ00;1411;Deurne;all crimes
2016JJ00;1292;Deurne;all crimes
2014JJ00;6334;Deventer;all crimes
2015JJ00;5389;Deventer;all crimes
2016JJ00;5533;Deventer;all crimes
2014JJ00;1661;Diemen;all crimes
2015JJ00;1638;Diemen;all crimes
2016JJ00;1611;Diemen;all crimes
2014JJ00;523;Dinkelland;all crimes
2015JJ00;529;Dinkelland;all crimes
2016JJ00;517;Dinkelland;all crimes
2014JJ00;487;Doesburg;all crimes
2015JJ00;532;Doesburg;all crimes
2016JJ00;497;Doesburg;all crimes
