	CBScode	Crimes	CrimeType
161	GM0005	69.0	Alle misdrijven
162	GM0888	998.0	Alle misdrijven
163	GM0888	520.0	Alle misdrijven
164	GM0888	990.0	Alle misdrijven
165	GM0888	476.0	Alle misdrijven
166	GM0888	996.0	Alle misdrijven
167	GM0888	452.0	Alle misdrijven
168	GM0370	256.0	Alle misdrijven
169	GM0370	105.0	Alle misdrijven
170	GM0370	237.0	Alle misdrijven
171	GM0370	113.0	Alle misdrijven
172	GM0370	278.0	Alle misdrijven
173	GM0370	111.0	Alle misdrijven
174	GM0889	467.0	Alle misdrijven
175	GM0889	203.0	Alle misdrijven
176	GM0889	403.0	Alle misdrijven
177	GM0889	199.0	Alle misdrijven
178	GM0889	436.0	Alle misdrijven
179	GM0889	187.0	Alle misdrijven
180	GM0007	217.0	Alle misdrijven
181	GM0007	98.0	Alle misdrijven
182	GM0007	192.0	Alle misdrijven
183	GM0007	92.0	Alle misdrijven
184	GM0007	205.0	Alle misdrijven
185	GM0007	111.0	Alle misdrijven
186	GM1945		Alle misdrijven
187	GM1945		Alle misdrijven
188	GM1945		Alle misdrijven
189	GM1945	575.0	Alle misdrijven
190	GM1945	1170.0	Alle misdrijven
191	GM1945	532.0	Alle misdrijven
192	GM0491		Alle misdrijven
193	GM0491		Alle misdrijven
194	GM0491		Alle misdrijven
195	GM0491		Alle misdrijven
196	GM0491		Alle misdrijven
197	GM0491		Alle misdrijven
198	GM1724	664.0	Alle misdrijven
199	GM1724	299.0	Alle misdrijven
200	GM1724	612.0	Alle misdrijven
201	GM1724	301.0	Alle misdrijven
202	GM1724	593.0	Alle misdrijven
203	GM1724	310.0	Alle misdrijven
204	GM0893	478.0	Alle misdrijven
205	GM0893	226.0	Alle misdrijven
206	GM0893	423.0	Alle misdrijven
207	GM0893	214.0	Alle misdrijven
208	GM0893	402.0	Alle misdrijven
209	GM0893	170.0	Alle misdrijven
210	GM0373	1231.0	Alle misdrijven
211	GM0373	559.0	Alle misdrijven
212	GM0373	1207.0	Alle misdrijven
213	GM0373	541.0	Alle misdrijven
214	GM0373	1181.0	Alle misdrijven
215	GM0373	416.0	Alle misdrijven
216	GM0748	4153.0	Alle misdrijven
217	GM0748	1931.0	Alle misdrijven
218	GM0748	3957.0	Alle misdrijven
219	GM0748	1796.0	Alle misdrijven
220	GM0748	3838.0	Alle misdrijven
221	GM0748	1713.0	Alle misdrijven
222	GM1859	1256.0	Alle misdrijven
223	GM1859	560.0	Alle misdrijven
224	GM1859	1112.0	Alle misdrijven
225	GM1859	483.0	Alle misdrijven
226	GM1859	1058.0	Alle misdrijven
227	GM1859	461.0	Alle misdrijven
228	GM1721	1152.0	Alle misdrijven
229	GM1721	556.0	Alle misdrijven
230	GM1721	1085.0	Alle misdrijven
231	GM1721	535.0	Alle misdrijven
232	GM1721	1037.0	Alle misdrijven
233	GM1721	460.0	Alle misdrijven
234	GM0568		Alle misdrijven
235	GM0568		Alle misdrijven
236	GM0568		Alle misdrijven
237	GM0568		Alle misdrijven
238	GM0568		Alle misdrijven
239	GM0568		Alle misdrijven
240	GM0753	1514.0	Alle misdrijven
241	GM0753	726.0	Alle misdrijven
242	GM0753	1379.0	Alle misdrijven
243	GM0753	638.0	Alle misdrijven
244	GM0753	1296.0	Alle misdrijven
245	GM0753	565.0	Alle misdrijven
246	GM0209	1006.0	Alle misdrijven
247	GM0209	449.0	Alle misdrijven
248	GM0209	848.0	Alle misdrijven
249	GM0209	430.0	Alle misdrijven
250	GM0209	880.0	Alle misdrijven
251	GM0209	474.0	Alle misdrijven
252	GM0375	2957.0	Alle misdrijven
253	GM0375	1311.0	Alle misdrijven
254	GM0375	2554.0	Alle misdrijven
255	GM0375	1114.0	Alle misdrijven
256	GM0375	2303.0	Alle misdrijven
257	GM0375	1056.0	Alle misdrijven
258	GM0063	230.0	Alle misdrijven
259	GM0063	110.0	Alle misdrijven
260	GM0063	222.0	Alle misdrijven
261	GM0063	106.0	Alle misdrijven
262	GM0063	266.0	Alle misdrijven
263	GM0063	128.0	Alle misdrijven
264	GM0310	1785.0	Alle misdrijven
265	GM0310	876.0	Alle misdrijven
266	GM0310	1782.0	Alle misdrijven
267	GM0310	785.0	Alle misdrijven
268	GM0310	1687.0	Alle misdrijven
269	GM0310	770.0	Alle misdrijven
270	GM0585	812.0	Alle misdrijven
271	GM0585	388.0	Alle misdrijven
272	GM0585	773.0	Alle misdrijven
273	GM0585	355.0	Alle misdrijven
274	GM0585	732.0	Alle misdrijven
275	GM0585	314.0	Alle misdrijven
276	GM1728	755.0	Alle misdrijven
277	GM1728	419.0	Alle misdrijven
278	GM1728	820.0	Alle misdrijven
279	GM1728	429.0	Alle misdrijven
280	GM1728	838.0	Alle misdrijven
281	GM1728	335.0	Alle misdrijven
282	GM0376	479.0	Alle misdrijven
283	GM0376	209.0	Alle misdrijven
284	GM0376	455.0	Alle misdrijven
285	GM0376	256.0	Alle misdrijven
286	GM0376	509.0	Alle misdrijven
287	GM0376	222.0	Alle misdrijven
288	GM0377	1218.0	Alle misdrijven
289	GM0377	523.0	Alle misdrijven
290	GM0377	1127.0	Alle misdrijven
291	GM0377	461.0	Alle misdrijven
292	GM0377	1010.0	Alle misdrijven
293	GM0377	475.0	Alle misdrijven
294	GM0055		Alle misdrijven
295	GM0055		Alle misdrijven
296	GM0055		Alle misdrijven
297	GM0055		Alle misdrijven
298	GM0055		Alle misdrijven
299	GM0055		Alle misdrijven
300	GM1901	1422.0	Alle misdrijven
301	GM1901	627.0	Alle misdrijven
302	GM1901	1211.0	Alle misdrijven
303	GM1901	565.0	Alle misdrijven
304	GM1901	1420.0	Alle misdrijven
305	GM1901	652.0	Alle misdrijven
306	GM0755	310.0	Alle misdrijven
307	GM0755	140.0	Alle misdrijven
308	GM0755	276.0	Alle misdrijven
309	GM0755	159.0	Alle misdrijven
310	GM0755	308.0	Alle misdrijven
311	GM0755	117.0	Alle misdrijven
312	GM0009	148.0	Alle misdrijven
313	GM0009	57.0	Alle misdrijven
314	GM0009	126.0	Alle misdrijven
315	GM0009	76.0	Alle misdrijven
316	GM0009	154.0	Alle misdrijven
317	GM0009	65.0	Alle misdrijven
318	GM1681	649.0	Alle misdrijven
319	GM1681	343.0	Alle misdrijven
320	GM1681	661.0	Alle misdrijven
321	GM1681	291.0	Alle misdrijven
322	GM1681	589.0	Alle misdrijven
323	GM1681	258.0	Alle misdrijven
324	GM0147	703.0	Alle misdrijven
325	GM0147	335.0	Alle misdrijven
326	GM0147	670.0	Alle misdrijven
327	GM0147	275.0	Alle misdrijven
328	GM0147	667.0	Alle misdrijven
329	GM0147	305.0	Alle misdrijven
330	GM0654	490.0	Alle misdrijven
331	GM0654	282.0	Alle misdrijven
332	GM0654	501.0	Alle misdrijven
333	GM0654	206.0	Alle misdrijven
334	GM0654	487.0	Alle misdrijven
335	GM0654	271.0	Alle misdrijven
336	GM0499		Alle misdrijven
337	GM0499		Alle misdrijven
338	GM0499		Alle misdrijven
339	GM0499		Alle misdrijven
340	GM0499		Alle misdrijven
341	GM0499		Alle misdrijven
342	GM0756	1092.0	Alle misdrijven
343	GM0756	520.0	Alle misdrijven
344	GM0756	1086.0	Alle misdrijven
345	GM0756	539.0	Alle misdrijven
346	GM0756	1010.0	Alle misdrijven
347	GM0756	427.0	Alle misdrijven
348	GM0757	1448.0	Alle misdrijven
349	GM0757	737.0	Alle misdrijven
350	GM0757	1428.0	Alle misdrijven
351	GM0757	726.0	Alle misdrijven
352	GM0757	1428.0	Alle misdrijven
353	GM0757	591.0	Alle misdrijven
354	GM0758	14053.0	Alle misdrijven
355	GM0758	6599.0	Alle misdrijven
356	GM0758	12941.0	Alle misdrijven
357	GM0758	6061.0	Alle misdrijven
358	GM0758	12577.0	Alle misdrijven
359	GM0758	5868.0	Alle misdrijven
360	GM0501	743.0	Alle misdrijven
361	GM0501	422.0	Alle misdrijven
362	GM0501	845.0	Alle misdrijven
363	GM0501	281.0	Alle misdrijven
364	GM0501	635.0	Alle misdrijven
365	GM0501	338.0	Alle misdrijven
366	GM1876	933.0	Alle misdrijven
367	GM1876	392.0	Alle misdrijven
368	GM1876	745.0	Alle misdrijven
369	GM1876	314.0	Alle misdrijven
370	GM1876	751.0	Alle misdrijven
371	GM1876	376.0	Alle misdrijven
372	GM0213	746.0	Alle misdrijven
373	GM0213	366.0	Alle misdrijven
374	GM0213	704.0	Alle misdrijven
375	GM0213	296.0	Alle misdrijven
376	GM0213	619.0	Alle misdrijven
377	GM0213	294.0	Alle misdrijven
378	GM0899	1905.0	Alle misdrijven
379	GM0899	935.0	Alle misdrijven
380	GM0899	1800.0	Alle misdrijven
381	GM0899	894.0	Alle misdrijven
382	GM0899	1729.0	Alle misdrijven
383	GM0899	741.0	Alle misdrijven
384	GM0312	625.0	Alle misdrijven
385	GM0312	325.0	Alle misdrijven
386	GM0312	624.0	Alle misdrijven
387	GM0312	270.0	Alle misdrijven
388	GM0312	582.0	Alle misdrijven
389	GM0312	296.0	Alle misdrijven
390	GM0313	649.0	Alle misdrijven
391	GM0313	361.0	Alle misdrijven
392	GM0313	713.0	Alle misdrijven
393	GM0313	324.0	Alle misdrijven
394	GM0313	639.0	Alle misdrijven
395	GM0313	322.0	Alle misdrijven
396	GM0214	826.0	Alle misdrijven
397	GM0214	334.0	Alle misdrijven
398	GM0214	666.0	Alle misdrijven
399	GM0214	362.0	Alle misdrijven
400	GM0214	751.0	Alle misdrijven
401	GM0214	294.0	Alle misdrijven
402	GM0381	1887.0	Alle misdrijven
403	GM0381	812.0	Alle misdrijven
404	GM0381	1718.0	Alle misdrijven
405	GM0381		Alle misdrijven
406	GM0381		Alle misdrijven
407	GM0381		Alle misdrijven
408	GM0502	3710.0	Alle misdrijven
409	GM0502	1757.0	Alle misdrijven
410	GM0502	3486.0	Alle misdrijven
411	GM0502	1612.0	Alle misdrijven
412	GM0502	3404.0	Alle misdrijven
413	GM0502	1539.0	Alle misdrijven
414	GM0383	1487.0	Alle misdrijven
415	GM0383	695.0	Alle misdrijven
416	GM0383	1335.0	Alle misdrijven
417	GM0383	548.0	Alle misdrijven
418	GM0383	1233.0	Alle misdrijven
419	GM0383	535.0	Alle misdrijven
420	GM0109	1624.0	Alle misdrijven
421	GM0109	654.0	Alle misdrijven
422	GM0109	1352.0	Alle misdrijven
423	GM0109	544.0	Alle misdrijven
424	GM0109	1281.0	Alle misdrijven
425	GM0109	641.0	Alle misdrijven
426	GM1706	891.0	Alle misdrijven
427	GM1706	408.0	Alle misdrijven
428	GM1706	798.0	Alle misdrijven
429	GM1706	432.0	Alle misdrijven
430	GM1706	866.0	Alle misdrijven
431	GM1706	367.0	Alle misdrijven
432	GM0611	396.0	Alle misdrijven
433	GM0611	224.0	Alle misdrijven
434	GM0611	386.0	Alle misdrijven
435	GM0611	196.0	Alle misdrijven
436	GM0611	342.0	Alle misdrijven
437	GM0611	159.0	Alle misdrijven
438	GM1684	1078.0	Alle misdrijven
439	GM1684	462.0	Alle misdrijven
440	GM1684	990.0	Alle misdrijven
441	GM1684	495.0	Alle misdrijven
442	GM1684	967.0	Alle misdrijven
443	GM1684	501.0	Alle misdrijven
444	GM0216	1778.0	Alle misdrijven
445	GM0216	776.0	Alle misdrijven
446	GM0216	1535.0	Alle misdrijven
447	GM0216	849.0	Alle misdrijven
448	GM0216	1620.0	Alle misdrijven
