unit,geo\time	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 	1959 	1958 	1957 	1956 	1955 	1954 	1953 	1952 	1951 	1950 
NR,HU	450673 	505716 	600621 	514403 	466050 	502036 	389451 	400935 	447215 	440370 	341061 	225393 	185344 	188397 	182867 	165816 	157036 	151505 	139795 	134914 	130470 	125267 	126907 	123623 	129424 	120889 	111825 	125388 	125999 	123147 	122289 	110622 	118254 	119872 	121020 	121961 	109255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,IE	73276 	81274 	85627 	90875 	100785 	102484 	101036 	98979 	95391 	94406 	87658 	86792 	89544 	85358 	86574 	91285 	99727 	102387 	97626 	89400 	72782 	64057 	62000 	62946 	54382 	48387 	40096 	38022 	39237 	37781 	30756 	25972 	23104 	20558 	19029 	16736 	17700 	16203 	15307 	14818 	15375 	17865 	16567 	14037 	12782 	11531 	11917 	15602 	14720 	14127 	12231 
NR,IS	18584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,IT	2205782 	2373966 	2425748 	2440754 	2422991 	2267488 	2173448 	2259903 	2390539 	2647735 	2501640 	2053522 	1894327 	1867035 	1403214 	1364010 	1273694 	1207242 	1123655 	1180421 	1139201 	1103536 	1075990 	914240 	767427 	770569 	754011 	715420 	685947 	626644 	547839 	482317 	541457 	513233 	484447 	452754 	445432 	429339 	416140 	379246 	332662 	313960 	346718 	352594 	344943 	: 	: 	: 	: 	: 	: 
NR,LI	898 	795 	858 	869 	1002 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,LT	82370 	77108 	78149 	75816 	68053 	60819 	58364 	60378 	56615 	44984 	37056 	31238 	21337 	20037 	20628 	21363 	20696 	19806 	15108 	14148 	14161 	13512 	12734 	12783 	12391 	12066 	11591 	11061 	11123 	11135 	11240 	: 	: 	: 	: 	8189 	8766 	9560 	11961 	11708 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,LU	22816 	26957 	27155 	24355 	27566 	28380 	29166 	28338 	26746 	25046 	24699 	23689 	22306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,LV	50199 	43969 	36674 	36865 	38205 	39141 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MK	19814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,MT	17016 	16031 	14793 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,NL	1328909 	1303446 	1234900 	1219935 	1186512 	1226700 	1313600 	1272500 	1268500 	1181800 	1150200 	1159600 	1146200 	1129500 	1097100 	1093700 	1083400 	986300 	922900 	812100 	705700 	622400 	570000 	550700 	525600 	453200 	425500 	388000 	348200 	307700 	265700 	239800 	216700 	196700 	184400 	162900 	161900 	148400 	145700 	135700 	131800 	125400 	124600 	118500 	105900 	103300 	102700 	107200 	113000 	116900 	96500 
NR,NO	306526 	291924 	293799 	284695 	271205 	267925 	234941 	230180 	234904 	223122 	235256 	237319 	220338 	198877 	164890 	164067 	151622 	159598 	148276 	131317 	121565 	107683 	103031 	90101 	90262 	96754 	91208 	86725 	79727 	73482 	64868 	60060 	51747 	51258 	48509 	47532 	47057 	45988 	42840 	43071 	38584 	38514 	36403 	33481 	: 	: 	: 	: 	: 	: 	: 
NR,PL	1266910 	1121545 	1073042 	992373 	897751 	974941 	906157 	852507 	881076 	866095 	883346 	547589 	475273 	508533 	507913 	544361 	538930 	466205 	436206 	379762 	337935 	337302 	355492 	344506 	324181 	340440 	339542 	355125 	379086 	475411 	424217 	497971 	468602 	498013 	525541 	491556 	469371 	516159 	423924 	405288 	429991 	429470 	424446 	405145 	369002 	339840 	313555 	341658 	351467 	323505 	203376 
NR,PT	363294 	362589 	341122 	321644 	322255 	326829 	332228 	307333 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,RO	353745 	363690 	399105 	361061 	321651 	297046 	237004 	219487 	144750 	139290 	97828 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,RS	106020 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,SE	1214968 	1194171 	1181056 	1196065 	1175339 	1145945 	1112505 	1191251 	1195154 	1199101 	1218820 	1144800 	1086211 	1092417 	1095357 	1018349 	983175 	959127 	983758 	935825 	926277 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,SI	67618 	61693 	55259 	37173 	36587 	38178 	43635 	44278 	54085 	42250 	38353 	39967 	38735 	35421 	38118 	42776 	45014 	51054 	43557 	32375 	28998 	27455 	27307 	30303 	29890 	29820 	29196 	28876 	27751 	26887 	23974 	23878 	24116 	25369 	26042 	25913 	22481 	23141 	22850 	18093 	18578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,SK	88817 	94016 	93895 	92395 	99402 	114579 	137713 	146125 	105060 	88157 	89872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TR	337079 	338606 	357311 	356677 	344395 	279001 	36593 	30482 	25765 	25908 	27305 	26095 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,UKC-L	5167312 	5298044 	5105764 	4600324 	5036552 	5100241 	5146383 	5526255 	5591717 	5276173 	4543611 	3870748 	3715767 	3892201 	3847410 	3611837 	3499060 	3247032 	3262422 	2963760 	2688235 	2376666 	2395757 	2463020 	2135713 	2105631 	1963360 	1657669 	1690219 	1646081 	1555995 	1488638 	1289090 	1207354 	1199859 	1133332 	1067963 	978076 	896424 	806900 	743713 	675626 	626509 	545562 	479710 	438085 	434327 	472989 	513559 	524506 	479400 
NR,UKM	423172 	435703 	431551 	420642 	451956 	475697 	500110 	517247 	564890 	572921 	518522 	478208 	457921 	472947 	458605 	457899 	471643 	445495 	435081 	408204 	364587 	346680 	334957 	363382 	317877 	281485 	233555 	207778 	212529 	210966 	167223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,UKN	119912 	119111 	109053 	62222 	68549 	68808 	67886 	66228 	67532 	63492 	57198 	55147 	55890 	63860 	68255 	64584 	66779 	63984 	62020 	62496 	56316 	54262 	45335 	45335 	39779 	37239 	33314 	32057 	35884 	30828 	24810 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
