Periods,BicycleTheftBicycleOwnersOnly_13,BicycleTheft_12,BurglaryOnlyHouseholds_11,Burglary_10,CarTheftCarUsersOnly_15,CarTheft_14,HarassmentByPhone_25,HitAndRunAccidents_24,OtherOffences_26,OtherThefts_19,OtherVandalism_23,Periods,PersonalCharacteristics,PhysicalAbuse_7,Pickpocketing_18,SexualOffencesOnlyWomen_6,SexualOffences_5,TheftFromCarsCarUsersOnly_17,TheftFromDamageToCarCarUsers_22,TheftFromDamageToCar_21,TheftsFromCars_16,Threat_8,TotalThefts_9,TotalVandalism_20,TotalViolentCrimes_4,VictimOfMoreThanOneTypeOfOffence_3,VictimOfTheOneTypeOfOffence_2,VictimsTotal_1,KeyCharacteristics,Title,CategoryGroupID
2003JJ00,1.1,0.6,,0.6,0.0,0.0,3.3,0.3,0.6,1.2,2.0,2003JJ00,21 ,0.1,2.3,0.0,0.0,0.8,7.0,2.5,0.3,0.3,5.0,4.2,0.4,0.6,8.7,9.3,21,Age cat. 1: 75 yrs and older,3
2004JJ00,1.2,0.7,,1.1,0.0,0.0,3.0,0.5,0.1,0.8,1.3,2004JJ00,21 ,0.0,0.9,0.0,0.0,1.2,5.6,2.0,0.4,0.3,3.6,3.3,0.3,0.5,7.0,7.4,21,Age cat. 1: 75 yrs and older,3
1997JJ00,8.4,6.3,,,,,,4.1,,6.8,8.2,1997JJ00,111,5.5,4.2,,,,,,,7.5,16.1,8.2,11.3,7.7,25.1,32.7,111,Age cat. 2: 0-14 yrs,4
1998JJ00,5.7,5.5,,,,,,3.7,,7.0,10.7,1998JJ00,111,2.9,3.3,,,,,,,6.0,13.7,10.7,8.3,6.9,24.0,30.8,111,Age cat. 2: 0-14 yrs,4
1999JJ00,6.6,6.6,,,,,,2.4,,5.2,12.0,1999JJ00,111,4.5,5.2,,,,,,,4.5,16.1,12.0,8.2,5.0,28.7,33.7,111,Age cat. 2: 0-14 yrs,4
2000JJ00,8.4,8.7,,,,,,3.4,,2.9,12.3,2000JJ00,111,4.3,4.9,,,,,,,5.0,15.1,12.3,8.6,6.8,26.3,33.2,111,Age cat. 2: 0-14 yrs,4
2001JJ00,5.2,5.5,,,,,,2.3,,6.1,11.0,2001JJ00,111,3.4,4.8,,,,,,,5.7,15.3,11.0,8.7,6.8,24.0,30.8,111,Age cat. 2: 0-14 yrs,4
2002JJ00,5.0,5.1,,,,,,2.9,,5.0,9.9,2002JJ00,111,4.0,5.1,,,,,,,3.2,14.4,9.9,6.2,6.2,21.5,27.7,111,Age cat. 2: 0-14 yrs,4
2003JJ00,6.4,6.2,,,,,,2.7,,3.6,7.7,2003JJ00,111,3.3,4.3,,,,,,,6.5,13.2,7.7,9.7,3.8,26.0,29.8,111,Age cat. 2: 0-14 yrs,4
2004JJ00,7.0,6.9,,,,,,3.3,,5.9,11.1,2004JJ00,111,3.9,4.0,,,,,,,5.2,15.7,11.1,8.3,6.9,23.9,30.9,111,Age cat. 2: 0-14 yrs,4
1997JJ00,15.9,11.9,,1.8,0.3,0.1,8.6,2.0,0.7,5.8,6.9,1997JJ00,112,3.9,3.6,5.8,3.6,5.1,14.3,4.8,1.7,6.6,21.5,10.1,12.8,9.6,28.1,37.6,112,Age cat. 2: 15-24 yrs,4
1998JJ00,14.5,13.0,,2.3,0.0,0.0,9.8,2.0,0.8,4.8,8.4,1998JJ00,112,4.8,6.1,3.7,2.0,2.3,15.2,4.3,0.6,7.4,23.3,11.0,12.6,10.6,29.1,39.7,112,Age cat. 2: 15-24 yrs,4
1999JJ00,12.8,11.4,,2.5,1.1,0.4,8.9,2.6,0.7,4.9,8.7,1999JJ00,112,4.6,4.0,5.7,3.2,5.1,13.6,4.5,1.7,8.1,22.3,11.7,14.1,11.4,28.2,39.6,112,Age cat. 2: 15-24 yrs,4
2000JJ00,15.9,13.9,,2.3,0.0,0.0,8.8,2.3,0.7,4.8,7.8,2000JJ00,112,4.2,3.8,5.1,2.7,5.8,14.9,4.8,1.9,6.2,23.1,10.8,12.0,10.5,29.3,39.8,112,Age cat. 2: 15-24 yrs,4
2001JJ00,15.8,13.5,,2.1,0.7,0.2,9.1,2.8,1.2,5.4,7.9,2001JJ00,112,5.8,3.9,6.1,3.3,7.2,17.6,5.9,2.4,7.5,24.1,11.8,15.0,12.7,29.4,42.1,112,Age cat. 2: 15-24 yrs,4
2002JJ00,15.2,13.7,,1.9,0.9,0.3,7.3,2.5,0.9,4.7,8.8,2002JJ00,112,5.1,4.7,7.0,3.5,9.8,19.5,6.6,3.3,9.1,24.3,13.3,16.1,13.0,31.6,44.6,112,Age cat. 2: 15-24 yrs,4
2003JJ00,14.4,12.3,,2.0,0.5,0.2,8.7,2.2,1.2,3.5,6.3,2003JJ00,112,5.1,4.0,5.3,2.9,7.4,20.8,8.0,2.8,8.7,21.7,11.5,14.9,11.5,27.8,39.3,112,Age cat. 2: 15-24 yrs,4
2004JJ00,14.3,12.9,,2.0,1.2,0.4,7.1,2.5,0.9,4.2,7.9,2004JJ00,112,5.1,3.4,4.0,2.0,9.2,18.5,6.5,3.2,6.8,22.7,12.1,12.4,11.3,27.5,38.8,112,Age cat. 2: 15-24 yrs,4
1997JJ00,5.6,5.4,,2.5,0.6,0.4,8.0,1.8,0.8,3.4,5.7,1997JJ00,113,1.5,1.7,2.3,1.2,4.7,13.2,8.3,3.0,3.0,14.9,13.5,5.4,6.5,23.6,30.1,113,Age cat. 2: 25-44 yrs,4
1998JJ00,5.9,5.4,,2.0,0.4,0.3,6.5,1.5,0.9,4.2,5.8,1998JJ00,113,2.1,1.8,3.0,1.8,3.8,14.4,9.0,2.4,3.6,14.6,14.4,6.9,7.2,23.7,30.9,113,Age cat. 2: 25-44 yrs,4
1999JJ00,5.5,5.0,,2.1,0.3,0.2,7.8,1.5,0.7,3.1,5.9,1999JJ00,113,1.8,1.4,2.3,1.3,3.9,15.3,10.1,2.6,3.5,13.4,15.5,6.0,6.7,24.0,30.7,113,Age cat. 2: 25-44 yrs,4
2000JJ00,5.6,5.1,,2.0,0.7,0.4,5.4,1.8,0.9,3.7,5.2,2000JJ00,113,1.3,1.5,2.1,1.1,4.4,15.0,9.8,2.9,3.7,13.9,14.5,5.7,6.2,24.3,30.5,113,Age cat. 2: 25-44 yrs,4
2001JJ00,4.7,4.3,,1.7,0.3,0.2,5.4,1.3,0.9,3.0,5.0,2001JJ00,113,1.7,1.5,1.9,1.3,4.6,13.3,8.9,3.1,3.7,12.7,13.5,6.1,6.1,22.2,28.3,113,Age cat. 2: 25-44 yrs,4
2002JJ00,4.5,4.0,,1.9,0.4,0.3,4.7,1.7,0.6,3.6,6.0,2002JJ00,113,1.5,1.6,2.2,1.3,4.7,15.4,10.6,3.2,3.8,13.3,15.9,6.0,6.8,23.9,30.7,113,Age cat. 2: 25-44 yrs,4
2003JJ00,5.0,4.7,,1.1,0.3,0.2,4.3,1.6,0.9,3.1,4.4,2003JJ00,113,2.3,1.6,1.4,0.8,5.2,14.4,10.0,3.6,3.8,12.9,13.9,6.2,5.9,23.5,29.4,113,Age cat. 2: 25-44 yrs,4
2004JJ00,5.3,4.8,,1.4,0.4,0.3,5.0,1.3,1.0,3.5,5.5,2004JJ00,113,1.5,1.5,2.0,1.1,4.2,15.0,10.3,2.9,4.0,13.1,15.1,6.2,6.8,23.4,30.2,113,Age cat. 2: 25-44 yrs,4
1997JJ00,2.6,2.6,,2.2,0.1,0.1,6.3,0.9,0.4,3.0,3.8,1997JJ00,114,0.6,1.6,1.2,0.6,2.3,8.9,5.3,1.4,1.5,10.3,8.9,2.4,2.9,17.2,20.1,114,Age cat. 2: 45-64 yrs,4
1998JJ00,3.1,2.8,,1.4,0.4,0.2,7.3,0.6,0.7,3.4,3.8,1998JJ00,114,0.7,1.2,0.8,0.4,2.6,10.4,6.4,1.6,1.6,10.0,10.0,2.6,2.9,18.2,21.1,114,Age cat. 2: 45-64 yrs,4
1999JJ00,3.1,2.7,,1.8,0.3,0.2,5.8,1.3,0.4,3.0,4.1,1999JJ00,114,0.8,1.7,0.6,0.3,2.4,9.8,6.0,1.5,2.1,10.1,9.8,3.1,3.4,18.1,21.6,114,Age cat. 2: 45-64 yrs,4
2000JJ00,2.6,2.4,,1.6,0.3,0.2,5.3,1.1,0.4,2.5,4.1,2000JJ00,114,0.6,1.5,1.0,0.5,1.6,10.4,6.6,1.0,1.9,8.8,10.2,2.9,3.1,17.7,20.8,114,Age cat. 2: 45-64 yrs,4
2001JJ00,3.0,2.8,,1.8,0.1,0.0,4.4,1.2,0.4,2.2,3.5,2001JJ00,114,0.8,1.4,0.7,0.4,2.6,9.2,5.9,1.7,2.3,9.1,9.3,3.3,3.1,17.2,20.2,114,Age cat. 2: 45-64 yrs,4
2002JJ00,3.0,2.7,,2.1,0.2,0.1,3.7,1.2,0.9,2.6,4.0,2002JJ00,114,1.1,1.5,1.3,0.7,4.2,11.2,7.2,2.7,2.1,10.6,10.8,3.6,3.8,19.2,23.0,114,Age cat. 2: 45-64 yrs,4
2003JJ00,3.0,2.6,,1.4,0.1,0.1,4.0,1.3,0.7,2.5,3.7,2003JJ00,114,0.8,1.4,0.6,0.4,2.9,10.4,6.6,1.8,2.1,9.3,10.0,3.1,2.9,18.3,21.3,114,Age cat. 2: 45-64 yrs,4
2004JJ00,2.9,2.6,,1.5,0.1,0.1,4.0,1.2,0.7,2.4,3.6,2004JJ00,114,0.8,1.3,0.8,0.4,2.6,10.4,6.9,1.7,2.0,9.2,9.9,3.0,3.0,18.1,21.2,114,Age cat. 2: 45-64 yrs,4
1997JJ00,0.6,0.7,,2.4,0.0,0.0,5.4,0.5,0.1,1.2,2.5,1997JJ00,115,0.1,1.5,0.0,0.0,1.1,8.0,3.4,0.5,0.5,5.9,5.7,0.7,1.4,10.4,11.8,115,Age cat. 2: 65 yrs and older,4
1998JJ00,1.0,0.7,,0.6,0.0,0.0,4.6,0.9,0.1,2.1,2.3,1998JJ00,115,0.4,1.1,0.1,0.1,0.7,5.8,2.5,0.3,0.4,4.6,4.7,0.9,0.8,9.8,10.6,115,Age cat. 2: 65 yrs and older,4
1999JJ00,0.7,0.5,,0.8,0.2,0.1,4.6,0.7,0.6,1.2,1.6,1999JJ00,115,0.0,1.9,0.3,0.2,2.3,8.3,3.6,1.0,0.6,5.2,5.1,0.7,1.2,9.6,10.8,115,Age cat. 2: 65 yrs and older,4
2000JJ00,0.6,0.4,,0.9,0.1,0.1,4.6,0.5,0.2,1.1,2.3,2000JJ00,115,0.0,2.3,0.1,0.1,1.0,4.6,2.0,0.4,0.4,5.0,4.2,0.5,0.5,9.4,9.9,115,Age cat. 2: 65 yrs and older,4
2001JJ00,1.0,0.7,,0.9,0.3,0.1,2.9,0.4,0.1,1.2,1.6,2001JJ00,115,0.2,1.8,0.0,0.0,0.7,6.2,2.9,0.3,0.9,4.6,4.5,1.2,1.2,8.6,9.8,115,Age cat. 2: 65 yrs and older,4
2002JJ00,1.3,1.0,,1.1,0.3,0.1,3.7,0.5,0.5,1.3,1.3,2002JJ00,115,0.2,1.7,0.0,0.0,0.5,6.6,3.1,0.2,1.4,5.4,4.4,1.5,0.7,10.5,11.1,115,Age cat. 2: 65 yrs and older,4
2003JJ00,1.2,0.9,,0.9,0.0,0.0,4.1,0.5,0.5,1.6,2.8,2003JJ00,115,0.1,2.0,0.3,0.2,1.0,7.8,3.6,0.5,0.6,5.6,6.2,1.0,1.3,10.9,12.2,115,Age cat. 2: 65 yrs and older,4
2004JJ00,1.4,1.0,,0.9,0.0,0.0,3.6,0.4,0.3,1.5,2.5,2004JJ00,115,0.0,1.0,0.0,0.0,1.2,6.3,3.1,0.6,0.5,4.8,5.4,0.6,1.1,9.2,10.3,115,Age cat. 2: 65 yrs and older,4
1997JJ00,8.4,6.3,,,,,,4.1,,6.8,8.2,1997JJ00,121,5.5,4.2,,,,,,,7.5,16.1,8.2,11.3,7.7,25.1,32.7,121,Age cat. 3: 0-14 yrs,5
1998JJ00,5.7,5.5,,,,,,3.7,,7.0,10.7,1998JJ00,121,2.9,3.3,,,,,,,6.0,13.7,10.7,8.3,6.9,24.0,30.8,121,Age cat. 3: 0-14 yrs,5
1999JJ00,6.6,6.6,,,,,,2.4,,5.2,12.0,1999JJ00,121,4.5,5.2,,,,,,,4.5,16.1,12.0,8.2,5.0,28.7,33.7,121,Age cat. 3: 0-14 yrs,5
2000JJ00,8.4,8.7,,,,,,3.4,,2.9,12.3,2000JJ00,121,4.3,4.9,,,,,,,5.0,15.1,12.3,8.6,6.8,26.3,33.2,121,Age cat. 3: 0-14 yrs,5
2001JJ00,5.2,5.5,,,,,,2.3,,6.1,11.0,2001JJ00,121,3.4,4.8,,,,,,,5.7,15.3,11.0,8.7,6.8,24.0,30.8,121,Age cat. 3: 0-14 yrs,5
2002JJ00,5.0,5.1,,,,,,2.9,,5.0,9.9,2002JJ00,121,4.0,5.1,,,,,,,3.2,14.4,9.9,6.2,6.2,21.5,27.7,121,Age cat. 3: 0-14 yrs,5
2003JJ00,6.4,6.2,,,,,,2.7,,3.6,7.7,2003JJ00,121,3.3,4.3,,,,,,,6.5,13.2,7.7,9.7,3.8,26.0,29.8,121,Age cat. 3: 0-14 yrs,5
2004JJ00,7.0,6.9,,,,,,3.3,,5.9,11.1,2004JJ00,121,3.9,4.0,,,,,,,5.2,15.7,11.1,8.3,6.9,23.9,30.9,121,Age cat. 3: 0-14 yrs,5
1997JJ00,15.3,11.3,,1.9,,0.5,8.2,2.4,0.7,6.0,8.0,1997JJ00,122,5.4,3.8,4.9,2.6,,,1.0,0.0,7.5,20.7,8.3,13.9,9.6,27.2,36.8,122,Age cat. 3: 15-19 yrs,5
1998JJ00,14.5,13.6,,1.5,,0.0,7.9,1.9,1.0,5.5,9.2,1998JJ00,122,4.4,6.3,3.2,1.9,,,0.3,0.2,7.1,24.0,9.3,11.8,10.4,28.2,38.6,122,Age cat. 3: 15-19 yrs,5
1999JJ00,10.4,9.6,,1.5,0.0,0.0,8.2,3.4,0.8,5.1,9.8,1999JJ00,122,5.6,5.4,7.0,3.6,6.0,16.7,2.1,0.8,9.0,20.6,10.6,16.2,11.1,29.5,40.7,122,Age cat. 3: 15-19 yrs,5
2000JJ00,15.3,14.3,,2.2,,0.0,10.7,2.8,0.6,4.3,8.4,2000JJ00,122,5.5,4.3,3.6,1.8,,,2.6,0.2,6.5,22.7,9.3,12.1,10.2,27.8,38.0,122,Age cat. 3: 15-19 yrs,5
2001JJ00,16.4,14.0,,1.3,,0.0,10.9,2.6,0.7,5.1,9.7,2001JJ00,122,6.3,4.9,5.9,3.1,,,1.8,0.3,7.8,24.0,10.3,15.3,10.7,31.2,41.9,122,Age cat. 3: 15-19 yrs,5
2002JJ00,14.3,14.2,,0.9,,0.0,7.4,2.1,1.0,5.3,11.7,2002JJ00,122,5.7,6.3,6.2,3.2,,,3.2,2.6,10.9,23.8,12.8,17.6,14.4,30.1,44.5,122,Age cat. 3: 15-19 yrs,5
2003JJ00,14.7,12.6,,2.1,,0.0,10.1,2.1,1.4,4.1,7.1,2003JJ00,122,5.4,4.8,4.0,2.1,,,3.7,0.8,9.1,22.2,8.3,14.5,10.4,27.0,37.4,122,Age cat. 3: 15-19 yrs,5
2004JJ00,15.4,14.5,,1.6,,0.0,7.2,2.5,0.4,4.6,10.2,2004JJ00,122,4.8,4.1,3.9,1.9,,,3.1,1.5,8.2,23.0,11.3,13.6,10.7,28.7,39.3,122,Age cat. 3: 15-19 yrs,5
1997JJ00,16.5,12.4,,1.8,0.0,0.0,9.1,1.6,0.7,5.5,5.9,1997JJ00,123,2.6,3.5,6.6,4.5,5.5,14.7,6.0,2.2,5.7,22.3,11.7,11.7,9.6,28.8,38.4,123,Age cat. 3: 20-24 yrs,5
1998JJ00,14.6,12.4,,3.0,0.0,0.0,11.5,2.1,0.7,4.2,7.6,1998JJ00,123,5.1,6.0,4.2,2.2,2.2,15.7,5.7,0.8,7.6,22.6,12.6,13.3,10.9,29.9,40.8,123,Age cat. 3: 20-24 yrs,5
1999JJ00,15.4,13.1,,3.4,1.3,0.5,9.6,1.9,0.7,4.6,7.6,1999JJ00,123,3.7,2.6,4.5,2.9,4.9,13.2,5.3,2.0,7.2,23.9,12.7,12.1,11.6,26.9,38.5,123,Age cat. 3: 20-24 yrs,5
2000JJ00,16.5,13.5,,2.5,0.0,0.0,7.1,1.8,0.7,5.3,7.3,2000JJ00,123,3.0,3.3,6.5,3.7,6.3,14.2,5.7,2.5,5.9,23.5,12.2,11.9,10.7,30.7,41.5,123,Age cat. 3: 20-24 yrs,5
2001JJ00,15.3,13.1,,2.8,0.8,0.3,7.5,2.9,1.7,5.7,6.2,2001JJ00,123,5.3,3.0,6.3,3.5,7.8,18.3,7.3,3.1,7.2,24.2,13.2,14.6,14.6,27.6,42.3,123,Age cat. 3: 20-24 yrs,5
2002JJ00,16.2,13.3,,2.8,1.0,0.4,7.2,2.9,0.8,4.1,6.0,2002JJ00,123,4.5,3.2,7.7,3.8,8.8,19.3,7.8,3.6,7.4,24.8,13.9,14.6,11.6,33.2,44.8,123,Age cat. 3: 20-24 yrs,5
2003JJ00,14.1,11.9,,1.9,0.6,0.3,7.3,2.3,0.9,3.0,5.5,2003JJ00,123,4.9,3.1,6.5,3.7,7.6,20.3,9.3,3.5,8.4,21.2,14.6,15.2,12.6,28.5,41.2,123,Age cat. 3: 20-24 yrs,5
2004JJ00,13.2,11.2,,2.5,1.3,0.6,7.0,2.4,1.4,3.9,5.7,2004JJ00,123,5.4,2.7,4.1,2.0,9.0,18.0,7.6,3.8,5.4,22.3,13.0,11.2,11.9,26.4,38.3,123,Age cat. 3: 20-24 yrs,5
1997JJ00,7.8,6.5,,2.8,0.8,0.5,8.3,1.7,0.8,3.6,6.7,1997JJ00,124,1.8,1.5,2.7,1.4,5.5,14.7,9.3,3.5,3.3,16.3,15.5,6.3,7.8,25.7,33.5,124,Age cat. 3: 25-34 yrs,5
1998JJ00,6.7,6.1,,2.8,0.1,0.0,7.0,1.8,1.2,4.9,5.3,1998JJ00,124,2.6,2.3,4.2,2.4,4.1,15.6,9.6,2.5,3.7,17.2,14.5,8.2,8.1,25.6,33.8,124,Age cat. 3: 25-34 yrs,5
1999JJ00,6.8,6.1,,2.4,0.3,0.2,6.9,1.6,0.6,3.5,6.1,1999JJ00,124,2.1,1.6,2.7,1.4,4.4,16.1,10.7,2.9,3.8,15.6,16.2,6.4,7.3,26.3,33.6,124,Age cat. 3: 25-34 yrs,5
2000JJ00,7.8,7.1,,1.6,0.4,0.3,5.5,1.9,1.1,4.5,5.3,2000JJ00,124,1.5,1.6,2.8,1.4,5.5,17.1,11.1,3.6,4.2,16.7,15.9,6.7,7.5,26.9,34.4,124,Age cat. 3: 25-34 yrs,5
2001JJ00,5.9,5.4,,2.0,0.4,0.2,5.7,1.3,1.0,3.4,5.2,2001JJ00,124,1.8,1.3,1.7,1.3,5.5,14.7,9.7,3.6,3.7,14.8,14.4,6.4,7.1,23.3,30.4,124,Age cat. 3: 25-34 yrs,5
2002JJ00,6.2,5.4,,1.6,0.5,0.3,4.9,2.4,0.5,3.7,6.1,2002JJ00,124,1.7,1.7,2.2,1.3,5.8,17.0,11.5,3.9,3.8,14.8,17.1,6.0,7.6,26.0,33.6,124,Age cat. 3: 25-34 yrs,5
2003JJ00,5.5,5.3,,1.6,0.3,0.2,4.1,1.6,1.1,3.0,5.0,2003JJ00,124,2.6,1.6,2.0,1.2,6.8,16.9,11.5,4.6,5.1,14.6,16.0,7.8,7.7,25.1,32.8,124,Age cat. 3: 25-34 yrs,5
2004JJ00,7.0,6.3,,1.1,0.4,0.3,4.8,1.7,1.1,3.2,6.1,2004JJ00,124,1.5,2.0,2.8,1.6,5.8,16.3,10.9,3.9,5.1,14.9,15.9,7.8,8.8,24.5,33.3,124,Age cat. 3: 25-34 yrs,5
1997JJ00,3.6,4.2,,2.2,0.5,0.3,7.8,1.8,0.7,3.2,4.6,1997JJ00,125,1.1,2.0,1.9,1.0,3.9,11.5,7.2,2.4,2.6,13.4,11.4,4.5,5.2,21.3,26.5,125,Age cat. 3: 35-44 yrs,5
1998JJ00,5.1,4.7,,1.2,0.8,0.5,6.0,1.3,0.5,3.4,6.4,1998JJ00,125,1.5,1.2,1.8,1.1,3.4,13.2,8.5,2.2,3.5,11.9,14.3,5.6,6.1,21.6,27.8,125,Age cat. 3: 35-44 yrs,5
1999JJ00,4.2,3.9,,1.9,0.3,0.2,8.7,1.4,0.7,2.8,5.6,1999JJ00,125,1.5,1.2,1.9,1.2,3.4,14.4,9.5,2.3,3.3,11.3,14.8,5.6,6.1,21.7,27.8,125,Age cat. 3: 35-44 yrs,5
2000JJ00,3.6,3.2,,2.3,0.9,0.6,5.2,1.6,0.6,3.0,5.2,2000JJ00,125,1.1,1.3,1.5,0.8,3.4,12.9,8.5,2.2,3.2,11.2,13.2,4.7,4.9,21.8,26.8,125,Age cat. 3: 35-44 yrs,5
2001JJ00,3.6,3.2,,1.3,0.2,0.1,5.0,1.4,0.8,2.6,4.8,2001JJ00,125,1.5,1.6,2.1,1.2,3.8,12.0,8.2,2.6,3.7,10.7,12.7,5.9,5.1,21.2,26.3,125,Age cat. 3: 35-44 yrs,5
2002JJ00,3.0,2.7,,2.2,0.3,0.2,4.6,1.2,0.7,3.4,5.8,2002JJ00,125,1.3,1.6,2.1,1.3,3.7,14.0,9.6,2.6,3.9,11.9,14.8,5.9,6.0,22.1,28.1,125,Age cat. 3: 35-44 yrs,5
2003JJ00,4.5,4.2,,0.7,0.3,0.2,4.5,1.7,0.7,3.1,3.9,2003JJ00,125,2.0,1.6,0.9,0.5,3.9,12.3,8.6,2.7,2.7,11.4,12.1,4.8,4.3,22.1,26.4,125,Age cat. 3: 35-44 yrs,5
2004JJ00,3.8,3.6,,1.7,0.4,0.3,5.1,1.0,0.9,3.8,4.9,2004JJ00,125,1.6,1.1,1.2,0.7,2.9,13.9,9.8,2.0,2.9,11.6,14.4,4.8,5.1,22.4,27.5,125,Age cat. 3: 35-44 yrs,5
1997JJ00,3.3,3.2,,2.0,0.2,0.1,6.1,0.9,0.4,2.8,3.8,1997JJ00,126,0.7,1.5,1.7,0.9,2.4,10.2,6.3,1.5,1.4,10.4,9.8,2.5,2.9,18.5,21.4,126,Age cat. 3: 45-54 yrs,5
1998JJ00,3.7,3.4,,1.1,0.5,0.3,7.6,0.7,0.7,3.8,3.8,1998JJ00,126,1.1,1.0,0.9,0.4,3.5,10.6,6.8,2.2,1.8,11.3,10.5,3.2,3.2,19.8,22.9,126,Age cat. 3: 45-54 yrs,5
1999JJ00,4.0,3.4,,2.1,0.5,0.3,6.0,1.3,0.4,3.1,4.3,1999JJ00,126,1.0,1.6,1.0,0.6,3.0,10.7,6.6,1.8,2.2,11.5,10.5,3.6,4.3,19.0,23.4,126,Age cat. 3: 45-54 yrs,5
2000JJ00,3.3,3.1,,1.6,0.4,0.3,5.4,1.4,0.5,2.4,4.9,2000JJ00,126,0.8,1.5,1.6,0.8,2.2,11.0,7.2,1.4,2.2,10.0,11.7,3.7,3.9,19.7,23.5,126,Age cat. 3: 45-54 yrs,5
2001JJ00,3.6,3.3,,1.7,0.1,0.0,4.7,1.1,0.5,2.4,3.9,2001JJ00,126,1.0,1.4,1.1,0.7,3.1,10.2,6.7,2.0,2.9,10.0,10.6,4.4,3.7,19.0,22.7,126,Age cat. 3: 45-54 yrs,5
2002JJ00,3.9,3.5,,1.9,0.0,0.0,4.0,1.3,0.9,3.1,4.6,2002JJ00,126,1.6,1.6,1.9,1.1,5.0,12.3,8.3,3.4,2.2,12.1,12.7,4.4,4.8,21.6,26.4,126,Age cat. 3: 45-54 yrs,5
2003JJ00,4.4,4.0,,1.4,0.1,0.1,4.8,1.6,0.6,2.5,4.1,2003JJ00,126,0.8,1.3,0.7,0.5,3.6,11.1,7.2,2.3,2.6,10.9,11.0,3.7,3.4,21.0,24.4,126,Age cat. 3: 45-54 yrs,5
2004JJ00,3.6,3.2,,1.6,0.2,0.2,4.0,1.4,0.7,2.7,4.1,2004JJ00,126,0.9,1.3,1.2,0.7,3.1,11.2,7.6,2.1,2.8,10.3,11.0,3.9,4.0,19.8,23.8,126,Age cat. 3: 45-54 yrs,5
1997JJ00,1.6,1.6,,2.6,0.0,0.0,6.6,0.9,0.4,3.3,3.9,1997JJ00,127,0.5,1.7,0.4,0.2,2.2,6.9,3.9,1.3,1.6,10.1,7.6,2.3,3.0,15.2,18.2,127,Age cat. 3: 55-64 yrs,5
1998JJ00,2.1,1.8,,1.8,0.3,0.1,6.7,0.4,0.7,2.9,3.9,1998JJ00,127,0.1,1.5,0.7,0.4,1.3,10.1,5.8,0.7,1.4,8.1,9.4,1.9,2.4,15.9,18.4,127,Age cat. 3: 55-64 yrs,5
1999JJ00,1.8,1.6,,1.2,0.0,0.0,5.6,1.2,0.3,2.9,3.8,1999JJ00,127,0.5,1.8,0.1,0.0,1.6,8.4,5.3,1.0,1.9,8.1,8.9,2.5,2.1,16.9,18.9,127,Age cat. 3: 55-64 yrs,5
2000JJ00,1.6,1.4,,1.7,0.3,0.2,5.1,0.7,0.2,2.7,2.9,2000JJ00,127,0.4,1.5,0.0,0.0,0.6,9.4,5.7,0.4,1.4,7.2,8.1,1.8,1.9,14.9,16.8,127,Age cat. 3: 55-64 yrs,5
2001JJ00,2.2,2.0,,1.8,0.1,0.1,3.9,1.2,0.2,2.0,2.8,2001JJ00,127,0.5,1.4,0.0,0.0,1.9,7.6,4.6,1.2,1.4,7.9,7.4,1.9,2.1,14.5,16.6,127,Age cat. 3: 55-64 yrs,5
2002JJ00,1.8,1.6,,2.3,0.5,0.3,3.2,1.2,0.7,1.9,3.1,2002JJ00,127,0.4,1.3,0.4,0.3,3.0,9.5,5.6,1.8,1.9,8.7,8.3,2.6,2.5,16.0,18.5,127,Age cat. 3: 55-64 yrs,5
2003JJ00,1.0,0.8,,1.4,0.2,0.1,2.9,0.9,0.7,2.5,3.1,2003JJ00,127,0.7,1.5,0.5,0.4,1.9,9.6,5.9,1.2,1.4,7.2,8.9,2.5,2.3,15.0,17.3,127,Age cat. 3: 55-64 yrs,5
2004JJ00,2.0,1.8,,1.5,0.0,0.0,4.0,1.0,0.8,2.1,2.9,2004JJ00,127,0.7,1.3,0.3,0.1,2.0,9.3,6.0,1.3,1.0,7.7,8.7,1.8,1.8,16.1,17.9,127,Age cat. 3: 55-64 yrs,5
1997JJ00,0.2,1.1,,2.4,0.0,0.0,6.4,0.5,0.0,1.1,2.9,1997JJ00,128,0.1,1.7,0.0,0.0,1.0,10.1,4.9,0.5,0.5,6.3,7.6,0.6,1.9,11.8,13.7,128,Age cat. 3: 65-74 yrs,5
1998JJ00,0.9,0.7,,0.5,0.0,0.0,4.0,1.0,0.2,3.0,2.8,1998JJ00,128,0.4,0.9,0.0,0.0,0.9,5.7,3.0,0.5,0.4,5.2,5.6,0.9,1.0,11.0,12.0,128,Age cat. 3: 65-74 yrs,5
1999JJ00,0.5,0.4,,0.7,0.4,0.2,4.8,1.0,0.3,1.5,2.5,1999JJ00,128,0.0,2.0,0.2,0.1,2.3,9.0,4.6,1.2,0.9,5.8,6.9,1.0,1.5,12.0,13.5,128,Age cat. 3: 65-74 yrs,5
2000JJ00,0.2,0.2,,1.0,0.2,0.1,5.0,0.4,0.3,1.0,2.8,2000JJ00,128,0.1,2.2,0.0,0.0,0.6,5.2,2.7,0.3,0.5,4.5,5.3,0.6,0.4,10.2,10.6,128,Age cat. 3: 65-74 yrs,5
