Periods,BicycleTheftBicycleOwnersOnly_13,BicycleTheft_12,BurglaryOnlyHouseholds_11,Burglary_10,CarTheftCarUsersOnly_15,CarTheft_14,HarassmentByPhone_25,HitAndRunAccidents_24,OtherOffences_26,OtherThefts_19,OtherVandalism_23,Periods,PersonalCharacteristics,PhysicalAbuse_7,Pickpocketing_18,SexualOffencesOnlyWomen_6,SexualOffences_5,TheftFromCarsCarUsersOnly_17,TheftFromDamageToCarCarUsers_22,TheftFromDamageToCar_21,TheftsFromCars_16,Threat_8,TotalThefts_9,TotalVandalism_20,TotalViolentCrimes_4,VictimOfMoreThanOneTypeOfOffence_3,VictimOfTheOneTypeOfOffence_2,VictimsTotal_1,KeyCharacteristics,Title,CategoryGroupID
2003JJ00,4.8,4.1,,1.1,0.3,0.1,5.8,1.3,0.7,2.8,4.2,2003JJ00,12 ,1.1,2.4,1.5,1.5,4.1,12.6,6.2,2.0,2.2,11.4,9.5,4.2,4.0,19.1,23.1,12,Women,2
2004JJ00,5.3,4.6,,1.4,0.5,0.2,5.9,1.3,0.7,3.2,4.8,2004JJ00,12 ,1.0,2.1,1.5,1.5,3.4,13.3,6.7,1.7,2.1,11.9,10.4,4.1,4.9,18.9,23.8,12,Women,2
1997JJ00,,,,,,,,,,,,1997JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
1998JJ00,,,,,,,,,,,,1998JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
1999JJ00,,,,,,,,,,,,1999JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
2000JJ00,,,,,,,,,,,,2000JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
2001JJ00,,,,,,,,,,,,2001JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
2002JJ00,,,,,,,,,,,,2002JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
2003JJ00,,,,,,,,,,,,2003JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
2004JJ00,,,,,,,,,,,,2004JJ00,13 ,,,,,,,,,,,,,,,,13,Age cat. 1: 0-11 yrs,3
1997JJ00,11.8,9.0,,2.4,,,8.5,3.2,0.9,6.7,9.0,1997JJ00,14 ,5.9,4.2,4.8,2.6,,,,,7.7,18.7,9.0,12.8,9.5,25.8,35.3,14,Age cat. 1: 12-17 yrs,3
1998JJ00,8.5,8.1,,1.1,,,7.8,2.3,0.4,6.9,9.8,1998JJ00,14 ,3.5,5.8,3.1,1.4,,,,,5.6,18.9,9.8,9.1,7.7,26.1,33.8,14,Age cat. 1: 12-17 yrs,3
1999JJ00,7.3,7.2,,1.5,,,8.2,3.2,0.8,5.1,10.4,1999JJ00,14 ,5.0,5.3,7.6,3.8,,,,,6.8,17.4,10.4,12.2,7.9,27.9,35.8,14,Age cat. 1: 12-17 yrs,3
2000JJ00,11.8,12.1,,1.9,,,11.1,2.9,0.6,3.5,11.0,2000JJ00,14 ,4.5,4.8,3.5,1.7,,,,,5.2,19.5,11.0,9.7,7.9,28.0,36.0,14,Age cat. 1: 12-17 yrs,3
2001JJ00,9.4,8.9,,1.4,,,10.7,2.6,0.4,5.7,10.1,2001JJ00,14 ,4.0,4.8,4.8,2.5,,,,,6.9,19.0,10.1,11.0,7.2,29.2,36.4,14,Age cat. 1: 12-17 yrs,3
2002JJ00,8.6,8.7,,0.5,,,6.3,2.8,0.7,5.4,11.6,2002JJ00,14 ,4.7,5.9,5.9,2.9,,,,,6.9,18.1,11.6,11.6,9.9,25.3,35.2,14,Age cat. 1: 12-17 yrs,3
2003JJ00,10.7,10.0,,2.2,,,11.2,2.4,1.7,4.3,7.4,2003JJ00,14 ,4.5,4.5,4.8,2.6,,,,,7.7,18.3,7.4,12.4,7.5,26.3,33.8,14,Age cat. 1: 12-17 yrs,3
2004JJ00,9.5,9.3,,1.9,,,7.0,2.9,0.4,5.3,11.5,2004JJ00,14 ,4.3,4.5,3.7,1.8,,,,,6.7,18.2,11.5,10.7,8.9,25.1,34.0,14,Age cat. 1: 12-17 yrs,3
1997JJ00,16.3,12.1,,1.6,0.3,0.1,8.7,1.8,0.6,5.4,5.6,1997JJ00,15 ,2.9,3.4,6.3,4.0,5.1,14.3,4.8,1.7,6.1,21.7,10.3,12.1,8.8,28.8,37.6,15,Age cat. 1: 18-24 yrs,3
1998JJ00,16.1,14.0,,2.8,0.0,0.0,10.7,2.5,1.0,3.9,8.2,1998JJ00,15 ,5.0,5.3,3.9,2.3,2.3,15.2,4.3,0.6,8.3,23.0,12.0,13.8,11.6,29.5,41.1,15,Age cat. 1: 18-24 yrs,3
1999JJ00,15.1,12.9,,2.9,1.1,0.4,9.2,2.0,0.7,4.8,8.7,1999JJ00,15 ,4.3,3.4,5.0,3.0,5.1,13.6,4.5,1.7,7.7,23.8,12.9,13.2,11.6,28.7,40.3,15,Age cat. 1: 18-24 yrs,3
2000JJ00,16.3,13.2,,2.5,0.0,0.0,7.9,2.3,0.7,5.1,7.1,2000JJ00,15 ,4.0,3.4,5.7,3.2,5.8,14.9,4.8,1.9,6.6,22.8,11.3,12.5,11.1,29.1,40.2,15,Age cat. 1: 18-24 yrs,3
2001JJ00,16.4,14.2,,2.4,0.7,0.2,8.4,2.7,1.6,5.5,7.3,2001JJ00,15 ,6.4,3.5,6.7,3.7,7.2,17.6,5.9,2.4,7.3,24.8,13.0,15.7,15.1,27.1,42.2,15,Age cat. 1: 18-24 yrs,3
2002JJ00,16.6,14.4,,2.5,0.9,0.3,7.8,2.4,1.0,4.3,6.9,2002JJ00,15 ,5.0,3.8,7.5,3.8,9.8,19.5,6.6,3.3,8.5,25.4,13.4,15.7,12.7,32.8,45.5,15,Age cat. 1: 18-24 yrs,3
2003JJ00,14.1,11.6,,1.9,0.5,0.2,7.4,2.2,0.9,2.9,5.9,2003JJ00,15 ,4.9,3.5,5.6,3.1,7.4,20.8,8.0,2.8,8.7,21.0,13.7,14.8,11.8,28.4,40.3,15,Age cat. 1: 18-24 yrs,3
2004JJ00,15.5,13.5,,2.1,1.2,0.4,7.1,2.5,1.1,4.1,6.1,2004JJ00,15 ,5.4,2.6,4.1,2.0,9.2,18.5,6.5,3.2,6.1,23.7,12.3,12.1,11.5,28.2,39.7,15,Age cat. 1: 18-24 yrs,3
1997JJ00,7.8,6.5,,2.8,0.8,0.5,8.3,1.7,0.8,3.6,6.7,1997JJ00,16 ,1.8,1.5,2.7,1.4,5.5,14.7,9.3,3.5,3.3,16.3,15.5,6.3,7.8,25.7,33.5,16,Age cat. 1:  25-34 yrs,3
1998JJ00,6.7,6.1,,2.8,0.1,0.0,7.0,1.8,1.2,4.9,5.3,1998JJ00,16 ,2.6,2.3,4.2,2.4,4.1,15.6,9.6,2.5,3.7,17.2,14.5,8.2,8.1,25.6,33.8,16,Age cat. 1:  25-34 yrs,3
1999JJ00,6.8,6.1,,2.4,0.3,0.2,6.9,1.6,0.6,3.5,6.1,1999JJ00,16 ,2.1,1.6,2.7,1.4,4.4,16.1,10.7,2.9,3.8,15.6,16.2,6.4,7.3,26.3,33.6,16,Age cat. 1:  25-34 yrs,3
