Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
1998JJ00,41410,0.0,5.0,2.0,8.0,0.0,8.0,5.0,1998JJ00,2.0,3000,6.0,18,9.2,,,41410,Younger than 20 years
1999JJ00,41410,1.0,5.0,2.0,7.0,0.0,4.0,3.0,1999JJ00,4.0,3000,4.0,15,7.6,,,41410,Younger than 20 years
2000JJ00,41410,1.0,4.0,1.0,7.0,1.0,3.0,6.0,2000JJ00,4.0,3000,3.0,15,7.5,,,41410,Younger than 20 years
2001JJ00,41410,0.0,3.0,0.0,4.0,2.0,3.0,6.0,2001JJ00,3.0,3000,3.0,12,6.0,,,41410,Younger than 20 years
2002JJ00,41410,0.0,3.0,1.0,10.0,0.0,2.0,10.0,2002JJ00,4.0,3000,2.0,16,7.9,,,41410,Younger than 20 years
2003JJ00,41410,2.0,3.0,1.0,10.0,1.0,0.0,7.0,2003JJ00,11.0,3000,9.0,22,10.8,,,41410,Younger than 20 years
2004JJ00,41410,1.0,2.0,1.0,9.0,0.0,2.0,7.0,2004JJ00,9.0,3000,9.0,20,9.8,,,41410,Younger than 20 years
2005JJ00,41410,1.0,3.0,2.0,10.0,0.0,2.0,3.0,2005JJ00,2.0,3000,5.0,14,6.9,,,41410,Younger than 20 years
2006JJ00,41410,0.0,2.0,1.0,6.0,0.0,1.0,1.0,2006JJ00,4.0,3000,7.0,11,5.4,,,41410,Younger than 20 years
2007JJ00,41410,3.0,0.0,3.0,8.0,1.0,4.0,6.0,2007JJ00,4.0,3000,5.0,17,8.4,,,41410,Younger than 20 years
2008JJ00,41410,1.0,0.0,0.0,3.0,0.0,3.0,4.0,2008JJ00,1.0,3000,2.0,7,3.5,,,41410,Younger than 20 years
2009JJ00,41410,3.0,3.0,0.0,10.0,0.0,3.0,3.0,2009JJ00,1.0,3000,5.0,14,7.0,,,41410,Younger than 20 years
2010JJ00,41410,3.0,5.0,2.0,11.0,1.0,0.0,3.0,2010JJ00,3.0,3000,2.0,15,7.5,,,41410,Younger than 20 years
2011JJ00,41410,4.0,2.0,1.0,8.0,0.0,0.0,1.0,2011JJ00,2.0,3000,2.0,10,5.0,,,41410,Younger than 20 years
2012JJ00,41410,5.0,1.0,1.0,7.0,1.0,3.0,3.0,2012JJ00,0.0,3000,1.0,11,5.5,,,41410,Younger than 20 years
2013JJ00,41410,1.0,0.0,4.0,6.0,0.0,5.0,4.0,2013JJ00,0.0,3000,2.0,11,5.6,,,41410,Younger than 20 years
2014JJ00,41410,,,,,,,,2014JJ00,,3000,,10,5.1,,,41410,Younger than 20 years
2015JJ00,41410,,,,,,,,2015JJ00,,3000,,3,1.5,,,41410,Younger than 20 years
2016JJ00,41410,,,,,,,,2016JJ00,,3000,,5,2.6,,,41410,Younger than 20 years
1996JJ00,60300,1.0,26.0,0.0,7.0,5.0,23.0,3.0,1996JJ00,14.0,3000,19.0,49,41.0,,,60300,20 to 30 years
1997JJ00,60300,0.0,23.0,3.0,9.0,6.0,17.0,6.0,1997JJ00,18.0,3000,18.0,50,43.1,,,60300,20 to 30 years
1998JJ00,60300,1.0,24.0,2.0,11.0,3.0,14.0,4.0,1998JJ00,17.0,3000,14.0,45,39.8,,,60300,20 to 30 years
1999JJ00,60300,0.0,22.0,1.0,8.0,5.0,14.0,2.0,1999JJ00,13.0,3000,15.0,40,36.5,,,60300,20 to 30 years
2000JJ00,60300,2.0,16.0,0.0,10.0,5.0,14.0,5.0,2000JJ00,10.0,3000,16.0,39,36.6,,,60300,20 to 30 years
2001JJ00,60300,1.0,24.0,0.0,5.0,5.0,11.0,7.0,2001JJ00,18.0,3000,7.0,39,37.5,,,60300,20 to 30 years
2002JJ00,60300,1.0,20.0,0.0,8.0,5.0,6.0,2.0,2002JJ00,17.0,3000,13.0,36,35.3,,,60300,20 to 30 years
2003JJ00,60300,1.0,10.0,0.0,5.0,4.0,4.0,1.0,2003JJ00,12.0,3000,13.0,25,24.9,,,60300,20 to 30 years
2004JJ00,60300,1.0,11.0,0.0,9.0,1.0,6.0,3.0,2004JJ00,8.0,3000,9.0,24,24.2,,,60300,20 to 30 years
2005JJ00,60300,3.0,10.0,0.0,7.0,2.0,1.0,1.0,2005JJ00,15.0,3000,11.0,25,25.3,,,60300,20 to 30 years
2006JJ00,60300,0.0,5.0,2.0,5.0,1.0,5.0,1.0,2006JJ00,8.0,3000,11.0,19,19.3,,,60300,20 to 30 years
2007JJ00,60300,0.0,12.0,1.0,10.0,3.0,3.0,1.0,2007JJ00,7.0,3000,9.0,23,23.3,,,60300,20 to 30 years
2008JJ00,60300,2.0,9.0,1.0,8.0,1.0,1.0,2.0,2008JJ00,17.0,3000,13.0,27,27.1,,,60300,20 to 30 years
2009JJ00,60300,2.0,18.0,0.0,14.0,0.0,4.0,1.0,2009JJ00,11.0,3000,8.0,29,28.7,,,60300,20 to 30 years
2010JJ00,60300,3.0,7.0,0.0,7.0,3.0,1.0,0.0,2010JJ00,11.0,3000,12.0,22,21.6,,,60300,20 to 30 years
2011JJ00,60300,1.0,14.0,0.0,4.0,3.0,3.0,0.0,2011JJ00,13.0,3000,8.0,23,22.3,,,60300,20 to 30 years
2012JJ00,60300,1.0,11.0,0.0,5.0,2.0,3.0,3.0,2012JJ00,11.0,3000,6.0,21,20.1,,,60300,20 to 30 years
2013JJ00,60300,2.0,8.0,1.0,9.0,2.0,3.0,1.0,2013JJ00,7.0,3000,9.0,21,19.9,,,60300,20 to 30 years
2014JJ00,60300,,,,,,,,2014JJ00,,3000,,22,20.6,,,60300,20 to 30 years
2015JJ00,60300,,,,,,,,2015JJ00,,3000,,23,21.4,,,60300,20 to 30 years
2016JJ00,60300,,,,,,,,2016JJ00,,3000,,19,16.5,,,60300,20 to 30 years
1996JJ00,60400,2.0,21.0,0.0,11.0,4.0,11.0,2.0,1996JJ00,12.0,3000,13.0,38,29.0,,,60400,30 to 40 years
1997JJ00,60400,3.0,18.0,1.0,10.0,5.0,18.0,6.0,1997JJ00,8.0,3000,13.0,41,31.1,,,60400,30 to 40 years
1998JJ00,60400,3.0,16.0,0.0,7.0,3.0,16.0,6.0,1998JJ00,10.0,3000,11.0,36,27.1,,,60400,30 to 40 years
1999JJ00,60400,3.0,30.0,0.0,15.0,2.0,12.0,2.0,1999JJ00,21.0,3000,15.0,50,37.4,,,60400,30 to 40 years
2000JJ00,60400,0.0,28.0,0.0,10.0,6.0,13.0,3.0,2000JJ00,14.0,3000,12.0,43,32.0,,,60400,30 to 40 years
2001JJ00,60400,1.0,24.0,0.0,16.0,3.0,11.0,4.0,2001JJ00,17.0,3000,18.0,47,34.9,,,60400,30 to 40 years
2002JJ00,60400,2.0,29.0,0.0,21.0,4.0,10.0,3.0,2002JJ00,18.0,3000,19.0,53,39.6,,,60400,30 to 40 years
2003JJ00,60400,0.0,27.0,1.0,15.0,4.0,8.0,4.0,2003JJ00,17.0,3000,12.0,44,33.4,,,60400,30 to 40 years
2004JJ00,60400,3.0,18.0,3.0,13.0,7.0,6.0,0.0,2004JJ00,19.0,3000,21.0,45,35.0,,,60400,30 to 40 years
2005JJ00,60400,0.0,19.0,0.0,12.0,5.0,0.0,3.0,2005JJ00,12.0,3000,7.0,29,23.3,,,60400,30 to 40 years
2006JJ00,60400,1.0,14.0,1.0,15.0,2.0,6.0,1.0,2006JJ00,5.0,3000,11.0,28,23.2,,,60400,30 to 40 years
2007JJ00,60400,0.0,12.0,0.0,12.0,3.0,3.0,3.0,2007JJ00,5.0,3000,8.0,23,19.6,,,60400,30 to 40 years
2008JJ00,60400,0.0,18.0,1.0,14.0,3.0,4.0,3.0,2008JJ00,17.0,3000,16.0,38,33.4,,,60400,30 to 40 years
2009JJ00,60400,0.0,15.0,1.0,13.0,3.0,4.0,0.0,2009JJ00,9.0,3000,13.0,29,26.2,,,60400,30 to 40 years
2010JJ00,60400,0.0,9.0,0.0,7.0,2.0,3.0,1.0,2010JJ00,8.0,3000,10.0,20,18.6,,,60400,30 to 40 years
2011JJ00,60400,0.0,11.0,1.0,7.0,3.0,7.0,3.0,2011JJ00,6.0,3000,8.0,23,21.9,,,60400,30 to 40 years
2012JJ00,60400,2.0,12.0,0.0,9.0,3.0,2.0,1.0,2012JJ00,5.0,3000,4.0,19,18.4,,,60400,30 to 40 years
2013JJ00,60400,3.0,12.0,0.0,8.0,1.0,3.0,2.0,2013JJ00,10.0,3000,5.0,22,21.7,,,60400,30 to 40 years
2014JJ00,60400,,,,,,,,2014JJ00,,3000,,26,25.8,,,60400,30 to 40 years
2015JJ00,60400,,,,,,,,2015JJ00,,3000,,17,16.8,,,60400,30 to 40 years
2016JJ00,60400,,,,,,,,2016JJ00,,3000,,18,17.6,,,60400,30 to 40 years
1996JJ00,60500,1.0,14.0,1.0,12.0,2.0,10.0,5.0,1996JJ00,4.0,3000,7.0,28,23.5,,,60500,40 to 50 years
1997JJ00,60500,1.0,15.0,1.0,7.0,0.0,11.0,2.0,1997JJ00,10.0,3000,9.0,28,23.7,,,60500,40 to 50 years
1998JJ00,60500,1.0,14.0,3.0,9.0,1.0,10.0,1.0,1998JJ00,11.0,3000,12.0,31,26.3,,,60500,40 to 50 years
1999JJ00,60500,4.0,16.0,2.0,18.0,3.0,5.0,2.0,1999JJ00,9.0,3000,11.0,35,29.5,,,60500,40 to 50 years
2000JJ00,60500,1.0,20.0,0.0,15.0,4.0,9.0,1.0,2000JJ00,6.0,3000,12.0,34,28.4,,,60500,40 to 50 years
2001JJ00,60500,3.0,20.0,0.0,19.0,1.0,6.0,2.0,2001JJ00,13.0,3000,14.0,39,32.1,,,60500,40 to 50 years
2002JJ00,60500,1.0,6.0,0.0,13.0,1.0,1.0,2.0,2002JJ00,6.0,3000,12.0,21,17.1,,,60500,40 to 50 years
2003JJ00,60500,2.0,10.0,1.0,11.0,3.0,3.0,4.0,2003JJ00,7.0,3000,7.0,24,19.3,,,60500,40 to 50 years
2004JJ00,60500,2.0,14.0,1.0,10.0,4.0,3.0,3.0,2004JJ00,11.0,3000,8.0,28,22.2,,,60500,40 to 50 years
2005JJ00,60500,0.0,16.0,2.0,12.0,6.0,2.0,6.0,2005JJ00,10.0,3000,6.0,30,23.5,,,60500,40 to 50 years
2006JJ00,60500,2.0,12.0,1.0,6.0,4.0,5.0,4.0,2006JJ00,7.0,3000,3.0,22,17.1,,,60500,40 to 50 years
2007JJ00,60500,2.0,9.0,0.0,11.0,2.0,1.0,0.0,2007JJ00,7.0,3000,10.0,21,16.3,,,60500,40 to 50 years
2008JJ00,60500,2.0,14.0,0.0,10.0,3.0,8.0,1.0,2008JJ00,7.0,3000,11.0,28,21.6,,,60500,40 to 50 years
2009JJ00,60500,4.0,4.0,1.0,9.0,2.0,1.0,1.0,2009JJ00,7.0,3000,9.0,19,14.6,,,60500,40 to 50 years
2010JJ00,60500,0.0,7.0,1.0,6.0,0.0,5.0,1.0,2010JJ00,7.0,3000,9.0,18,13.8,,,60500,40 to 50 years
2011JJ00,60500,1.0,12.0,0.0,12.0,4.0,4.0,2.0,2011JJ00,5.0,3000,10.0,25,19.1,,,60500,40 to 50 years
2012JJ00,60500,2.0,17.0,1.0,7.0,3.0,5.0,1.0,2012JJ00,13.0,3000,7.0,28,21.6,,,60500,40 to 50 years
2013JJ00,60500,2.0,9.0,0.0,5.0,2.0,6.0,2.0,2013JJ00,3.0,3000,3.0,16,12.5,,,60500,40 to 50 years
2014JJ00,60500,,,,,,,,2014JJ00,,3000,,28,22.4,,,60500,40 to 50 years
2015JJ00,60500,,,,,,,,2015JJ00,,3000,,17,13.9,,,60500,40 to 50 years
2016JJ00,60500,,,,,,,,2016JJ00,,3000,,13,11.8,,,60500,40 to 50 years
1996JJ00,60600,2.0,8.0,0.0,6.0,3.0,9.0,1.0,1996JJ00,3.0,3000,10.0,21,24.0,,,60600,50 to 60 years
1997JJ00,60600,1.0,6.0,1.0,3.0,2.0,8.0,2.0,1997JJ00,3.0,3000,6.0,16,17.3,,,60600,50 to 60 years
1998JJ00,60600,1.0,3.0,0.0,5.0,1.0,2.0,0.0,1998JJ00,4.0,3000,8.0,12,12.4,,,60600,50 to 60 years
1999JJ00,60600,2.0,5.0,0.0,11.0,0.0,4.0,2.0,1999JJ00,1.0,3000,7.0,16,16.0,,,60600,50 to 60 years
2000JJ00,60600,0.0,4.0,2.0,8.0,3.0,2.0,4.0,2000JJ00,2.0,3000,5.0,15,14.5,,,60600,50 to 60 years
2001JJ00,60600,1.0,4.0,2.0,11.0,1.0,6.0,4.0,2001JJ00,6.0,3000,13.0,24,22.7,,,60600,50 to 60 years
2002JJ00,60600,3.0,10.0,0.0,14.0,1.0,1.0,1.0,2002JJ00,6.0,3000,8.0,22,20.3,,,60600,50 to 60 years
2003JJ00,60600,2.0,6.0,0.0,9.0,3.0,9.0,5.0,2003JJ00,2.0,3000,10.0,23,20.8,,,60600,50 to 60 years
2004JJ00,60600,3.0,8.0,1.0,8.0,2.0,5.0,2.0,2004JJ00,10.0,3000,11.0,25,22.3,,,60600,50 to 60 years
2005JJ00,60600,2.0,4.0,1.0,8.0,2.0,3.0,1.0,2005JJ00,2.0,3000,7.0,15,13.2,,,60600,50 to 60 years
2006JJ00,60600,0.0,3.0,0.0,7.0,1.0,3.0,4.0,2006JJ00,0.0,3000,4.0,11,9.7,,,60600,50 to 60 years
2007JJ00,60600,3.0,4.0,1.0,9.0,3.0,3.0,2.0,2007JJ00,5.0,3000,10.0,20,17.7,,,60600,50 to 60 years
2008JJ00,60600,1.0,3.0,2.0,8.0,0.0,3.0,2.0,2008JJ00,3.0,3000,6.0,14,12.4,,,60600,50 to 60 years
2009JJ00,60600,3.0,7.0,3.0,13.0,3.0,1.0,2.0,2009JJ00,7.0,3000,9.0,24,21.2,,,60600,50 to 60 years
2010JJ00,60600,2.0,2.0,1.0,5.0,1.0,3.0,2.0,2010JJ00,4.0,3000,6.0,13,11.4,,,60600,50 to 60 years
2011JJ00,60600,2.0,4.0,0.0,13.0,2.0,2.0,1.0,2011JJ00,2.0,3000,12.0,19,16.4,,,60600,50 to 60 years
2012JJ00,60600,1.0,6.0,1.0,7.0,1.0,3.0,1.0,2012JJ00,1.0,3000,3.0,12,10.2,,,60600,50 to 60 years
2013JJ00,60600,1.0,1.0,0.0,6.0,1.0,2.0,1.0,2013JJ00,0.0,3000,6.0,9,7.6,,,60600,50 to 60 years
2014JJ00,60600,,,,,,,,2014JJ00,,3000,,14,11.6,,,60600,50 to 60 years
2015JJ00,60600,,,,,,,,2015JJ00,,3000,,12,9.8,,,60600,50 to 60 years
2016JJ00,60600,,,,,,,,2016JJ00,,3000,,8,7.3,,,60600,50 to 60 years
1996JJ00,21400,5.0,2.0,3.0,12.0,0.0,4.0,3.0,1996JJ00,3.0,3000,6.0,19,16.2,,,21400,60 years or older
1997JJ00,21400,1.0,0.0,3.0,2.0,0.0,7.0,4.0,1997JJ00,3.0,3000,4.0,12,10.1,,,21400,60 years or older
1998JJ00,21400,2.0,1.0,2.0,4.0,0.0,12.0,6.0,1998JJ00,0.0,3000,5.0,16,13.3,,,21400,60 years or older
1999JJ00,21400,4.0,1.0,0.0,6.0,0.0,4.0,1.0,1999JJ00,2.0,3000,6.0,12,9.8,,,21400,60 years or older
2000JJ00,21400,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2000JJ00,0.0,3000,2.0,7,5.6,,,21400,60 years or older
2001JJ00,21400,1.0,3.0,1.0,13.0,0.0,1.0,2.0,2001JJ00,3.0,3000,10.0,17,13.4,,,21400,60 years or older
2002JJ00,21400,7.0,1.0,0.0,5.0,1.0,2.0,1.0,2002JJ00,3.0,3000,2.0,11,8.5,,,21400,60 years or older
2003JJ00,21400,5.0,1.0,2.0,9.0,3.0,4.0,4.0,2003JJ00,5.0,3000,9.0,21,29.6,,,21400,60 years or older
2004JJ00,21400,5.0,2.0,2.0,17.0,0.0,2.0,1.0,2004JJ00,3.0,3000,12.0,22,16.2,,,21400,60 years or older
2005JJ00,21400,1.0,1.0,3.0,13.0,1.0,2.0,4.0,2005JJ00,1.0,3000,8.0,17,12.2,,,21400,60 years or older
2006JJ00,21400,1.0,0.0,1.0,10.0,0.0,2.0,3.0,2006JJ00,0.0,3000,7.0,12,8.3,,,21400,60 years or older
2007JJ00,21400,2.0,2.0,0.0,3.0,2.0,1.0,1.0,2007JJ00,3.0,3000,4.0,9,6.0,,,21400,60 years or older
2008JJ00,21400,3.0,0.0,1.0,7.0,1.0,3.0,2.0,2008JJ00,1.0,3000,6.0,12,7.7,,,21400,60 years or older
2009JJ00,21400,1.0,2.0,0.0,7.0,0.0,2.0,4.0,2009JJ00,2.0,3000,4.0,11,7.7,,,21400,60 years or older
2010JJ00,21400,0.0,4.0,0.0,11.0,1.0,0.0,1.0,2010JJ00,1.0,3000,8.0,13,7.8,,,21400,60 years or older
2011JJ00,21400,5.0,2.0,2.0,7.0,1.0,1.0,1.0,2011JJ00,2.0,3000,1.0,11,6.4,,,21400,60 years or older
2012JJ00,21400,4.0,1.0,1.0,8.0,0.0,4.0,2.0,2012JJ00,1.0,3000,5.0,13,7.4,,,21400,60 years or older
2013JJ00,21400,0.0,0.0,2.0,8.0,0.0,2.0,2.0,2013JJ00,0.0,3000,6.0,10,5.5,,,21400,60 years or older
2014JJ00,21400,,,,,,,,2014JJ00,,3000,,13,7.0,,,21400,60 years or older
2015JJ00,21400,,,,,,,,2015JJ00,,3000,,5,2.6,,,21400,60 years or older
2016JJ00,21400,,,,,,,,2016JJ00,,3000,,11,6.1,,,21400,60 years or older
1996JJ00,10000,1.0,13.0,16.0,39.0,0.0,28.0,13.0,1996JJ00,2.0,4000,26.0,69,8.8,,,10000,Total all ages
1997JJ00,10000,1.0,11.0,20.0,33.0,1.0,28.0,14.0,1997JJ00,5.0,4000,21.0,67,8.5,,,10000,Total all ages
1998JJ00,10000,1.0,11.0,14.0,22.0,1.0,24.0,7.0,1998JJ00,3.0,4000,17.0,50,6.3,,,10000,Total all ages
1999JJ00,10000,7.0,10.0,14.0,30.0,0.0,24.0,8.0,1999JJ00,8.0,4000,23.0,62,7.8,,,10000,Total all ages
2000JJ00,10000,1.0,7.0,20.0,47.0,1.0,18.0,17.0,2000JJ00,4.0,4000,25.0,70,8.7,,,10000,Total all ages
2001JJ00,10000,2.0,13.0,9.0,65.0,1.0,13.0,24.0,2001JJ00,7.0,4000,38.0,86,10.6,,,10000,Total all ages
2002JJ00,10000,4.0,11.0,13.0,44.0,1.0,11.0,16.0,2002JJ00,9.0,4000,21.0,65,8.0,,,10000,Total all ages
2003JJ00,10000,5.0,18.0,11.0,54.0,1.0,22.0,19.0,2003JJ00,11.0,4000,35.0,88,10.7,,,10000,Total all ages
2004JJ00,10000,3.0,12.0,15.0,39.0,1.0,9.0,12.0,2004JJ00,10.0,4000,17.0,59,7.2,,,10000,Total all ages
2005JJ00,10000,0.0,10.0,16.0,52.0,2.0,8.0,15.0,2005JJ00,5.0,4000,26.0,67,8.1,,,10000,Total all ages
2006JJ00,10000,4.0,7.0,6.0,34.0,4.0,12.0,16.0,2006JJ00,6.0,4000,23.0,56,6.8,,,10000,Total all ages
2007JJ00,10000,5.0,8.0,11.0,39.0,4.0,5.0,7.0,2007JJ00,3.0,4000,20.0,51,6.2,,,10000,Total all ages
2008JJ00,10000,7.0,8.0,7.0,44.0,0.0,2.0,7.0,2008JJ00,4.0,4000,21.0,50,6.0,,,10000,Total all ages
2009JJ00,10000,6.0,6.0,8.0,36.0,2.0,6.0,8.0,2009JJ00,5.0,4000,21.0,49,5.9,,,10000,Total all ages
2010JJ00,10000,10.0,7.0,8.0,51.0,2.0,2.0,4.0,2010JJ00,2.0,4000,28.0,57,6.8,,,10000,Total all ages
2011JJ00,10000,5.0,15.0,9.0,42.0,8.0,3.0,4.0,2011JJ00,1.0,4000,21.0,54,6.4,,,10000,Total all ages
2012JJ00,10000,6.0,6.0,11.0,44.0,1.0,5.0,3.0,2012JJ00,3.0,4000,27.0,53,6.3,,,10000,Total all ages
2013JJ00,10000,3.0,5.0,14.0,49.0,2.0,2.0,11.0,2013JJ00,5.0,4000,25.0,58,6.8,,,10000,Total all ages
2014JJ00,10000,4.0,1.0,6.0,25.0,0.0,1.0,2.0,2014JJ00,5.0,4000,18.0,31,3.6,,,10000,Total all ages
2015JJ00,10000,4.0,5.0,11.0,36.0,0.0,4.0,1.0,2015JJ00,3.0,4000,22.0,43,5.0,,,10000,Total all ages
2016JJ00,10000,6.0,3.0,7.0,26.0,0.0,4.0,2.0,2016JJ00,4.0,4000,16.0,34,4.0,,,10000,Total all ages
1996JJ00,41410,0.0,1.0,2.0,8.0,0.0,4.0,6.0,1996JJ00,1.0,4000,4.0,13,7.0,,,41410,Younger than 20 years
1997JJ00,41410,0.0,0.0,7.0,7.0,0.0,6.0,5.0,1997JJ00,0.0,4000,1.0,13,7.0,,,41410,Younger than 20 years
1998JJ00,41410,0.0,1.0,1.0,2.0,0.0,5.0,3.0,1998JJ00,1.0,4000,3.0,8,4.3,,,41410,Younger than 20 years
1999JJ00,41410,0.0,1.0,6.0,4.0,0.0,7.0,2.0,1999JJ00,0.0,4000,2.0,11,5.8,,,41410,Younger than 20 years
2000JJ00,41410,0.0,0.0,3.0,5.0,0.0,5.0,4.0,2000JJ00,2.0,4000,5.0,12,6.3,,,41410,Younger than 20 years
2001JJ00,41410,0.0,2.0,2.0,9.0,0.0,3.0,4.0,2001JJ00,1.0,4000,5.0,13,6.8,,,41410,Younger than 20 years
2002JJ00,41410,0.0,0.0,2.0,10.0,0.0,2.0,8.0,2002JJ00,0.0,4000,2.0,12,6.2,,,41410,Younger than 20 years
2003JJ00,41410,2.0,0.0,1.0,7.0,0.0,1.0,1.0,2003JJ00,0.0,4000,4.0,8,4.1,,,41410,Younger than 20 years
2004JJ00,41410,0.0,1.0,1.0,3.0,0.0,2.0,2.0,2004JJ00,0.0,4000,1.0,5,2.6,,,41410,Younger than 20 years
2005JJ00,41410,0.0,0.0,6.0,12.0,0.0,1.0,3.0,2005JJ00,0.0,4000,4.0,13,6.7,,,41410,Younger than 20 years
2006JJ00,41410,0.0,0.0,3.0,8.0,0.0,3.0,7.0,2006JJ00,1.0,4000,2.0,12,6.2,,,41410,Younger than 20 years
2007JJ00,41410,3.0,0.0,3.0,6.0,2.0,2.0,4.0,2007JJ00,1.0,4000,1.0,11,5.7,,,41410,Younger than 20 years
2008JJ00,41410,4.0,0.0,3.0,9.0,0.0,0.0,2.0,2008JJ00,0.0,4000,0.0,9,4.7,,,41410,Younger than 20 years
2009JJ00,41410,1.0,1.0,1.0,8.0,1.0,0.0,2.0,2009JJ00,0.0,4000,4.0,9,4.7,,,41410,Younger than 20 years
2010JJ00,41410,3.0,2.0,1.0,9.0,0.0,0.0,1.0,2010JJ00,0.0,4000,2.0,9,4.7,,,41410,Younger than 20 years
2011JJ00,41410,1.0,1.0,4.0,5.0,3.0,0.0,2.0,2011JJ00,0.0,4000,0.0,8,4.2,,,41410,Younger than 20 years
2012JJ00,41410,3.0,0.0,1.0,8.0,0.0,1.0,0.0,2012JJ00,1.0,4000,6.0,10,5.3,,,41410,Younger than 20 years
2013JJ00,41410,0.0,1.0,0.0,7.0,0.0,0.0,3.0,2013JJ00,1.0,4000,4.0,8,4.2,,,41410,Younger than 20 years
2014JJ00,41410,,,,,,,,2014JJ00,,4000,,4,2.1,,,41410,Younger than 20 years
2015JJ00,41410,,,,,,,,2015JJ00,,4000,,6,3.2,,,41410,Younger than 20 years
2016JJ00,41410,,,,,,,,2016JJ00,,4000,,3,1.6,,,41410,Younger than 20 years
1996JJ00,60300,0.0,5.0,7.0,8.0,0.0,9.0,2.0,1996JJ00,1.0,4000,4.0,18,15.6,,,60300,20 to 30 years
1997JJ00,60300,0.0,6.0,3.0,6.0,1.0,10.0,2.0,1997JJ00,3.0,4000,9.0,20,17.8,,,60300,20 to 30 years
1998JJ00,60300,0.0,2.0,2.0,5.0,0.0,4.0,1.0,1998JJ00,0.0,4000,4.0,9,8.2,,,60300,20 to 30 years
1999JJ00,60300,0.0,5.0,1.0,7.0,0.0,6.0,4.0,1999JJ00,3.0,4000,6.0,16,15.0,,,60300,20 to 30 years
2000JJ00,60300,0.0,2.0,7.0,14.0,1.0,4.0,4.0,2000JJ00,2.0,4000,8.0,21,20.1,,,60300,20 to 30 years
2001JJ00,60300,1.0,3.0,3.0,14.0,0.0,2.0,5.0,2001JJ00,1.0,4000,5.0,17,16.6,,,60300,20 to 30 years
2002JJ00,60300,2.0,5.0,4.0,17.0,0.0,3.0,2.0,2002JJ00,2.0,4000,9.0,22,21.9,,,60300,20 to 30 years
2003JJ00,60300,0.0,5.0,1.0,12.0,0.0,5.0,5.0,2003JJ00,3.0,4000,9.0,20,20.3,,,60300,20 to 30 years
2004JJ00,60300,0.0,4.0,2.0,9.0,0.0,0.0,1.0,2004JJ00,3.0,4000,5.0,12,12.3,,,60300,20 to 30 years
2005JJ00,60300,0.0,1.0,1.0,5.0,1.0,4.0,4.0,2005JJ00,1.0,4000,5.0,11,11.3,,,60300,20 to 30 years
2006JJ00,60300,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2006JJ00,2.0,4000,4.0,7,7.2,,,60300,20 to 30 years
2007JJ00,60300,0.0,1.0,1.0,7.0,1.0,1.0,3.0,2007JJ00,1.0,4000,5.0,10,10.3,,,60300,20 to 30 years
2008JJ00,60300,0.0,2.0,0.0,7.0,0.0,1.0,2.0,2008JJ00,1.0,4000,5.0,9,9.2,,,60300,20 to 30 years
2009JJ00,60300,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2009JJ00,0.0,4000,2.0,5,5.0,,,60300,20 to 30 years
2010JJ00,60300,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2010JJ00,0.0,4000,2.0,4,4.0,,,60300,20 to 30 years
2011JJ00,60300,0.0,7.0,0.0,13.0,2.0,0.0,0.0,2011JJ00,0.0,4000,8.0,15,14.8,,,60300,20 to 30 years
2012JJ00,60300,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2012JJ00,0.0,4000,1.0,3,2.9,,,60300,20 to 30 years
2013JJ00,60300,1.0,2.0,2.0,6.0,0.0,0.0,2.0,2013JJ00,2.0,4000,1.0,8,7.7,,,60300,20 to 30 years
2014JJ00,60300,,,,,,,,2014JJ00,,4000,,5,4.8,,,60300,20 to 30 years
2015JJ00,60300,,,,,,,,2015JJ00,,4000,,4,3.8,,,60300,20 to 30 years
2016JJ00,60300,,,,,,,,2016JJ00,,4000,,4,3.8,,,60300,20 to 30 years
1996JJ00,60400,0.0,3.0,3.0,8.0,0.0,5.0,0.0,1996JJ00,0.0,4000,7.0,13,10.3,,,60400,30 to 40 years
1997JJ00,60400,0.0,2.0,2.0,4.0,0.0,4.0,0.0,1997JJ00,1.0,4000,5.0,9,7.1,,,60400,30 to 40 years
1998JJ00,60400,0.0,6.0,5.0,7.0,1.0,5.0,0.0,1998JJ00,0.0,4000,2.0,13,10.2,,,60400,30 to 40 years
1999JJ00,60400,2.0,3.0,2.0,8.0,0.0,5.0,1.0,1999JJ00,2.0,4000,7.0,15,11.7,,,60400,30 to 40 years
2000JJ00,60400,0.0,3.0,2.0,10.0,0.0,2.0,2.0,2000JJ00,0.0,4000,5.0,12,9.3,,,60400,30 to 40 years
2001JJ00,60400,0.0,3.0,2.0,17.0,0.0,4.0,8.0,2001JJ00,2.0,4000,10.0,23,17.7,,,60400,30 to 40 years
