Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
2015JJ00,41410,3.0,1.0,4.0,8.0,0.0,1.0,0.0,2015JJ00,0.0,1100,1.0,9,2.4,,,41410,Younger than 20 years
2016JJ00,41410,3.0,1.0,0.0,5.0,0.0,1.0,2.0,2016JJ00,2.0,1100,2.0,8,2.1,,,41410,Younger than 20 years
1996JJ00,60300,1.0,31.0,7.0,15.0,5.0,32.0,5.0,1996JJ00,15.0,1100,23.0,67,28.5,,,60300,20 to 30 years
1997JJ00,60300,0.0,29.0,6.0,15.0,7.0,27.0,8.0,1997JJ00,21.0,1100,27.0,70,30.6,,,60300,20 to 30 years
1998JJ00,60300,1.0,26.0,4.0,16.0,3.0,18.0,5.0,1998JJ00,17.0,1100,18.0,54,24.2,,,60300,20 to 30 years
1999JJ00,60300,0.0,27.0,2.0,15.0,5.0,20.0,6.0,1999JJ00,16.0,1100,21.0,56,25.8,,,60300,20 to 30 years
2000JJ00,60300,2.0,18.0,7.0,24.0,6.0,18.0,9.0,2000JJ00,12.0,1100,24.0,60,28.5,,,60300,20 to 30 years
2001JJ00,60300,2.0,27.0,3.0,19.0,5.0,13.0,12.0,2001JJ00,19.0,1100,12.0,56,27.2,,,60300,20 to 30 years
2002JJ00,60300,3.0,25.0,4.0,25.0,5.0,9.0,4.0,2002JJ00,19.0,1100,22.0,58,28.7,,,60300,20 to 30 years
2003JJ00,60300,1.0,15.0,1.0,17.0,4.0,9.0,6.0,2003JJ00,15.0,1100,22.0,45,22.6,,,60300,20 to 30 years
2004JJ00,60300,1.0,15.0,2.0,18.0,1.0,6.0,4.0,2004JJ00,11.0,1100,14.0,36,18.3,,,60300,20 to 30 years
2005JJ00,60300,3.0,11.0,1.0,12.0,3.0,5.0,5.0,2005JJ00,16.0,1100,16.0,36,18.4,,,60300,20 to 30 years
